LOCSF,MODIFIER,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID
L,p~~~~,MB,A,MEB,MBMEBp~~~~A
L,d~~~~,MB,A,FYL,MBFYLd~~~~A
R,~~~~~,MB,A,IWO,MBIWO~~~~~N
L,~~~~~,MB,A,PGE,MBPGE~~~~~A
L,~~~~~,MB,A,PGU,MBPGU~~~~~A
R,~~~~~,MB,A,FFD,MBFFD~~~~~N
L,~~~~~,MB,A,ARS,MBARS~~~~~A
F13,~~~~~,MB,A,CRN,MBCRN~~~~~A
L,d~~~~,MB,A,FYL,MBFYLd~~~~A
L,~~~~~,MB,A,PGU,MBPGU~~~~~A
L,~~~~~,MB,A,THG,MBTHG~~~~~A
L,d~~~~,MB,A,PGE,MBPGEd~~~~A
L,d~~~~,MB,A,TRO,MBTROd~~~~A
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A
L,d~~~~,MB,A,BAM,MBBAMd~~~~A
L,~~~~~,MB,A,FMS,MBFMS~~~~~A
L,p~~~~,MB,A,FYL,MBFYLp~~~~A
L,~~~~~,MB,A,MRQ,MBMRQ~~~~~A
L,d~~~~,MB,A,FYL,MBFYLd~~~~A
L,~~~~~,MB,A,RIV,MBRIV~~~~~A
L,d~~~~,MB,A,PGE,MBPGEd~~~~A
L,~~~~~,MB,A,PGU,MBPGU~~~~~A
L,~~~~~,MB,A,LBU,MBLBU~~~~~A
L,~~~~~,MB,A,NIV,MBNIV~~~~~A
L,~~~~~,MB,A,AND,MBAND~~~~~A
L,~~~~~,MB,A,GNL,MBGNL~~~~~A
R,~~~~~,MB,A,GUO,MBGUO~~~~~A
R,~~~~~,MB,A,AND,MBAND~~~~~A
R,~~~~~,MB,A,IWO,MBIWO~~~~~N
L,p~~~~,MB,A,MEB,MBMEBp~~~~A
R,~~~~~,MB,A,GUO,MBGUO~~~~~A
L,~~~~~,MB,A,ARS,MBARS~~~~~A
R,~~~~~,MB,A,LRY,MBLRY~~~~~A
L,~~~~~,MB,A,SLN,MBSLN~~~~~A
L,~~~~~,MB,A,PGE,MBPGE~~~~~A
R,~~~~~,MB,A,BYD,MBBYD~~~~~N
L,~~~~~,MB,A,STW,MBSTW~~~~~N
M14,~~~~~,MB,A,$MH,MB$MH~~~~~A
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A
L,~~~~~,MB,A,FYL,MBFYL~~~~~A
R,~~~~~,MB,A,$SB,MB$SB~~~~~N
H,~~~~~,MB,A,LRY,MBLRY~~~~~A
H,~~~~~,MB,A,IWO,MBIWO~~~~~N
H,~~~~~,MB,A,PPL,MBPPL~~~~~A
H,~~~~~,MB,A,SDI,MBSDI~~~~~A
L,p~~~~,MB,A,KLI,MBKLIp~~~~N
H,~~~~~,MB,A,MNT,MBMNT~~~~~A
L,~~~~~,MB,A,MRQ,MBMRQ~~~~~A
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A
H,~~~~~,MB,A,GUO,MBGUO~~~~~A
H,~~~~~,MB,B,LRY,MBLRY~~~~~A
H,~~~~~,MB,A,AND,MBAND~~~~~A
H,~~~~~,MB,A,PRG,MBPRG~~~~~A
L,~~~~~,MB,A,MNT,MBMNT~~~~~A
L,~~~~~,MB,A,PLN,MBPLN~~~~~A
L,~~~~~,MB,A,GNL,MBGNL~~~~~A
L,~~~~~,MB,A,MLI,MBMLI~~~~~A
L,~~~~~,MB,A,PPL,MBPPL~~~~~A
U,~~~~~,MB,A,PLN,MBPLN~~~~~A
U,~~~~~,MB,A,IWO,MBIWO~~~~~N
U,~~~~~,MB,A,SPG,MBSPG~~~~~A
L,~~~~~,MB,B,PPL,MBPPL~~~~~A
U,~~~~~,MB,A,BVR,MBBVR~~~~~A
U,~~~~~,MB,A,MEB,MBMEB~~~~~A
R,~~~~~,MB,A,LRY,MBLRY~~~~~A
F13,~~~~~,MB,A,KIC,MBKIC~~~~~A
L,~~~~~,MB,A,KLI,MBKLI~~~~~A
L,~~~~~,MB,A,MNT,MBMNT~~~~~A
L,~~~~~,MB,A,PPL,MBPPL~~~~~A
L,~~~~~,MB,A,MNT,MBMNT~~~~~A
U,~~~~~,MB,A,PLN,MBPLN~~~~~A
L,~~~~~,MB,A,WGE,MBWGE~~~~~A
L,d~~~~,MB,A,FOY,MBFOYd~~~~A
R,~~~~~,MB,A,KRW,MBKRW~~~~~N
R,~~~~~,MB,B,LRY,MBLRY~~~~~A
R,~~~~~,MB,A,SPG,MBSPG~~~~~A
L,p~~~~,MB,A,MNT,MBMNTp~~~~A
L,~~~~~,MB,A,PAN,MBPAN~~~~~A
L,d~~~~,MB,A,MNT,MBMNTd~~~~A
L,p~~~~,MB,A,MNT,MBMNTp~~~~A
L,~~~~~,MB,A,PPL,MBPPL~~~~~A
U,~~~~~,MB,A,SDI,MBSDI~~~~~A
L,~~~~~,MB,A,KRW,MBKRW~~~~~N
U,~~~~~,MB,A,MAR,MBMAR~~~~~A
F13,~~~~~,MB,A,KIC,MBKIC~~~~~A
L,~~~~~,MB,A,SPG,MBSPG~~~~~A
L,~~~~~,MB,A,SPG,MBSPG~~~~~A
F13,~~~~~,MB,A,KIC,MBKIC~~~~~A
L,~~~~~,MB,A,MNT,MBMNT~~~~~A
L,p~~~~,MB,A,BYD,MBBYDp~~~~A
L,~~~~~,MB,A,MEB,MBMEB~~~~~A
L,p~~~~,MB,A,MNT,MBMNTp~~~~A
L,~~~~~,MB,A,BYD,MBBYD~~~~~N
L,~~~~~,MB,A,PAN,MBPAN~~~~~A
L,~~~~~,MB,A,PLN,MBPLN~~~~~A
L,~~~~~,MB,A,GHP,MBGHP~~~~~A
L,~~~~~,MB,A,MNT,MBMNT~~~~~A
L,~~~~~,MB,A,LSW,MBLSW~~~~~A
L,~~~~~,MB,A,RIV,MBRIV~~~~~A
L,~~~~~,MB,A,WDN,MBWDN~~~~~A
L,d~~~~,MB,A,OBO,MBOBOd~~~~A
R,~~~~~,MB,B,ASZ,MBASZ~~~~~A
U,~~~~~,AB,A,CMO,ABCMO~~~~~A
U,~~~~~,AB,A,DUG,ABDUG~~~~~A
U,~~~~~,AB,A,AGS,ABAGS~~~~~A
U,~~~~~,AB,A,ZGW,ABZGW~~~~~N
U,~~~~~,AB,A,AGS,ABAGS~~~~~A
U,~~~~~,AB,A,RLV,ABRLV~~~~~A
U,~~~~~,AB,A,ZGW,ABZGW~~~~~N
U,~~~~~,AB,A,MMO,ABMMO~~~~~A
U,~~~~~,AB,A,NVR,ABNVR~~~~~A
U,~~~~~,AB,A,AGS,ABAGS~~~~~A
U,~~~~~,AB,A,ZGW,ABZGW~~~~~N
U,~~~~~,AB,A,WTB,ABWTB~~~~~A
U,~~~~~,AB,A,MNT,ABMNT~~~~~N
U,~~~~~,AB,A,RDW,ABRDW~~~~~A
I,~~~~~,AB,D,ZUN,ABZUN~~~~~N
U,~~~~~,AB,A,PED,ABPED~~~~~A
U,~~~~~,AB,A,MMO,ABMMO~~~~~A
U,~~~~~,AB,A,POK,ABPOK~~~~~A
U,~~~~~,AB,A,ZGW,ABZGW~~~~~N
U,~~~~~,AB,B,ELP,ABELP~~~~~N
U,~~~~~,AB,A,TGL,ABTGL~~~~~A
F13,~~~~~,AB,A,MNT,ABMNT~~~~~N
U,~~~~~,AB,B,RLV,ABRLV~~~~~A
U,~~~~~,AB,A,MCO,ABMCO~~~~~A
U,~~~~~,AB,A,ZGW,ABZGW~~~~~N
U,~~~~~,AB,A,AGS,ABAGS~~~~~A
U,~~~~~,AB,A,KVG,ABKVG~~~~~A
U,~~~~~,AB,A,HBM,ABHBM~~~~~A
U,~~~~~,AB,A,ZGW,ABZGW~~~~~N
U,~~~~~,AB,A,AGS,ABAGS~~~~~A
U,~~~~~,AB,A,WKN,ABWKN~~~~~A
U,~~~~~,AB,A,MMO,ABMMO~~~~~A
