LOCSF,MODIFIER,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID
U,~~~~~,BC,A,BIK,BCBIK~~~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
U,~~~~~,BC,B,JUH,BCJUH~~~~~A
U,~~~~~,BC,B,KHE,BCKHE~~~~~A
S,~~~~~,BC,E,SEM,BCSEM~~~~~N
L,~~~~~,BC,A,GOS,BCGOS~~~~~A
U,~~~~~,BC,B,NMP,BCNMP~~~~~A
L,~~~~~,BC,A,EAG,BCEAG~~~~~A
L,~~~~~,BC,B,ESH,BCESH~~~~~A
D,~~~~~,BC,E,SEM,BCSEM~~~~~N
D,~~~~~,BC,E,ATT,BCATT~~~~~N
L,~~~~~,BC,A,ALV,BCALV~~~~~A
H,~~~~~,BC,B,RSD,BCRSD~~~~~A
H,~~~~~,BC,B,FLH,BCFLH~~~~~A
H,~~~~~,BC,B,BAT,BCBAT~~~~~A
L,~~~~~,BC,A,EAG,BCEAG~~~~~A
M,~~~~~,BC,B,ESH,BCESH~~~~~A
M,~~~~~,BC,B,FLH,BCFLH~~~~~A
M,~~~~~,BC,B,MUD,BCMUD~~~~~A
M,~~~~~,BC,B,ALC,BCALC~~~~~A
U,~~~~~,BC,A,BIK,BCBIK~~~~~A
U,~~~~~,BC,B,LYX,BCLYX~~~~~A
L,~~~~~,BC,A,EAG,BCEAG~~~~~A
L,~~~~~,BC,A,ALV,BCALV~~~~~A
L,ca~~~,BC,A,CUI,BCCUIca~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
U,~~~~~,BC,B,SUC,BCSUC~~~~~A
S,~~~~~,BC,E,SEM,BCSEM~~~~~N
U,~~~~~,BC,B,BYL,BCBYL~~~~~A
U,~~~~~,BC,B,LYX,BCLYX~~~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
D,~~~~~,BC,E,ATT,BCATT~~~~~N
D,~~~~~,BC,E,SEM,BCSEM~~~~~N
S,~~~~~,BC,F,ATT,BCATT~~~~~N
S,~~~~~,BC,F,SEM,BCSEM~~~~~N
U,~~~~~,BC,B,BEA,BCBEA~~~~~A
U,~~~~~,BC,B,BHM,BCBHM~~~~~A
U,~~~~~,BC,A,DON,BCDON~~~~~A
L,~~~~~,BC,A,SIP,BCSIP~~~~~A
L,~~~~~,BC,A,GOS,BCGOS~~~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
U,~~~~~,BC,A,SIP,BCSIP~~~~~A
U,~~~~~,BC,B,ALC,BCALC~~~~~A
U,~~~~~,BC,A,BIK,BCBIK~~~~~A
U,~~~~~,BC,B,CDE,BCCDE~~~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
L,~~~~~,BC,A,BYL,BCBYL~~~~~A
T,~~~~~,BC,B,CYU,BCCYU~~~~~A
T,~~~~~,BC,B,SUC,BCSUC~~~~~A
T,~~~~~,BC,B,POE,BCPOE~~~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
U,~~~~~,BC,B,BYL,BCBYL~~~~~A
U,~~~~~,BC,B,SUC,BCSUC~~~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
M,~~~~~,BC,C,MLY,BCMLY~~~~~A
L,ca~~~,BC,A,CUI,BCCUIca~~~A
U,~~~~~,BC,B,SUC,BCSUC~~~~~A
L,~~~~~,BC,A,EAG,BCEAG~~~~~A
L,~~~~~,BC,A,CTM,BCCTM~~~~~A
U,~~~~~,BC,B,LYX,BCLYX~~~~~A
U,~~~~~,BC,B,DVS,BCDVS~~~~~A
U,~~~~~,BC,B,SUC,BCSUC~~~~~A
U,~~~~~,BC,B,BYL,BCBYL~~~~~A
L,~~~~~,BC,A,EAG,BCEAG~~~~~A
U,~~~~~,BC,B,MLY,BCMLY~~~~~A
U,~~~~~,BC,B,CYU,BCCYU~~~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
U,~~~~~,BC,B,ESH,BCESH~~~~~A
U,~~~~~,BC,B,DON,BCDON~~~~~A
U,~~~~~,BC,B,CDE,BCCDE~~~~~A
U,~~~~~,BC,B,POA,BCPOA~~~~~A
U,~~~~~,BC,B,ALC,BCALC~~~~~A
L,~~~~~,BC,A,EAG,BCEAG~~~~~A
U,~~~~~,BC,B,JUH,BCJUH~~~~~A
U,~~~~~,BC,B,KHE,BCKHE~~~~~A
U,~~~~~,BC,B,JUH,BCJUH~~~~~A
U,~~~~~,BC,B,FLH,BCFLH~~~~~A
U,~~~~~,BC,B,BAT,BCBAT~~~~~A
L,~~~~~,BC,A,EAG,BCEAG~~~~~A
U,~~~~~,AB,B,HZM,ABHZM~~~~~A
U,~~~~~,AB,B,ALC,ABALC~~~~~N
U,~~~~~,AB,A,SIP,ABSIP~~~~~N
U,~~~~~,BC,A,ALC,BCALC~~~~~A
U,~~~~~,BC,A,DON,BCDON~~~~~A
U,~~~~~,AB,A,ESH,ABESH~~~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
L,~~~~~,AB,A,FAL,ABFAL~~~~~A
H,~~~~~,BC,B,FLH,BCFLH~~~~~A
L,~~~~~,AB,A,NMA,ABNMA~~~~~A
H,~~~~~,BC,B,JUH,BCJUH~~~~~A
U,~~~~~,AB,A,JUH,ABJUH~~~~~A
H,~~~~~,BC,B,KHE,BCKHE~~~~~A
H,~~~~~,BC,B,NMP,BCNMP~~~~~A
U,~~~~~,AB,A,GOS,ABGOS~~~~~N
U,~~~~~,BC,B,GOS,BCGOS~~~~~A
D,~~~~~,BC,E,SEM,BCSEM~~~~~N
F13,~~~~~,AB,A,EGL,ABEGL~~~~~N
B14,~~~~~,AB,A,KNZ,ABKNZ~~~~~N
U,~~~~~,AB,A,HZM,ABHZM~~~~~A
U,~~~~~,AB,B,ALC,ABALC~~~~~N
M,~~~~~,BC,D,MLY,BCMLY~~~~~A
M,li~~~,BC,D,MLY,BCMLYli~~~N
L,p~~~~,BC,A,COD,BCCODp~~~~A
I,~~~~~,BC,E,ZON,BCZON~~~~~N
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
M,~~~~~,BC,C,MLY,BCMLY~~~~~A
M,li~~~,BC,D,MLY,BCMLYli~~~N
L,p~~~~,BC,A,COD,BCCODp~~~~A
T,~~~~~,BC,B,CYU,BCCYU~~~~~A
S,~~~~~,BC,E,ZON,BCZON~~~~~N
U,~~~~~,AB,A,AGH,ABAGH~~~~~A
U,~~~~~,AB,A,HZM,ABHZM~~~~~A
U,~~~~~,AB,A,ESH,ABESH~~~~~A
U,~~~~~,AB,A,SIP,ABSIP~~~~~N
U,~~~~~,BC,B,SUC,BCSUC~~~~~A
U,~~~~~,BC,B,BYL,BCBYL~~~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
L,~~~~~,BC,A,EAG,BCEAG~~~~~A
D,~~~~~,BC,E,SEM,BCSEM~~~~~N
I,~~~~~,AB,E,ZUN,ABZUN~~~~~N
D,~~~~~,BC,E,SEM,BCSEM~~~~~N
U,~~~~~,AB,A,LIH,ABLIH~~~~~N
D,~~~~~,BC,E,ATT,BCATT~~~~~N
U,~~~~~,BC,B,BEA,BCBEA~~~~~A
U,~~~~~,BC,B,TYO,BCTYO~~~~~A
U,~~~~~,BC,B,CYU,BCCYU~~~~~A
U,~~~~~,AB,A,ESH,ABESH~~~~~A
U,~~~~~,AB,A,NST,ABNST~~~~~A
U,~~~~~,AB,A,HZM,ABHZM~~~~~A
U,~~~~~,AB,A,CYY,ABCYY~~~~~N
D,~~~~~,BC,E,SEM,BCSEM~~~~~N
U,~~~~~,BC,B,SUC,BCSUC~~~~~A
L,~~~~~,BC,A,ALV,BCALV~~~~~A
B14,~~~~~,BC,A,KEZ,BCKEZ~~~~~N
H,~~~~~,BC,B,DVS,BCDVS~~~~~A
H,~~~~~,BC,B,LYX,BCLYX~~~~~A
