LOCSF,MODIFIER,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID,STONE
U,3~~~~,NS,B,HWL,NSHWL3~~~~N,S
M,5~~~~,NS,B,DGC,NSDGC5~~~~A,V
M,5~~~~,NS,C,QUE,NSQUE5~~~~A,S
M,6~~~~,NS,B,QUE,NSQUE6~~~~A,S
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,4~~~~,NS,C,WOB,NSWOB4~~~~A,S
M,3~~~~,NS,C,THM,NSTHM3~~~~N,V
M,3~~~~,NS,C,HWL,NSHWL3~~~~N,V
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,5~~~~,NS,C,MLO,NSMLO5~~~~A,S
M,6~~~~,NS,A,THM,NSTHM6~~~~N,V
M,5~~~~,NS,D,DGC,NSDGC5~~~~A,S
M,5~~~~,NS,C,MLO,NSMLO5~~~~A,V
M,5~~~~,NS,B,QUE,NSQUE5~~~~A,S
M,6~~~~,NS,B,QUE,NSQUE6~~~~A,S
M,4~~~~,NS,B,WOB,NSWOB4~~~~A,S
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,3~~~~,NS,C,THM,NSTHM3~~~~N,V
M,3~~~~,NS,C,HWL,NSHWL3~~~~N,V
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
U,5~~~~,NS,B,MLO,NSMLO5~~~~A,S
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
U,6~~~~,NS,B,QUE,NSQUE6~~~~A,S
M,3~~~~,NS,C,SUI,NSSUI3~~~~N,V
M,3~~~~,NS,C,HWL,NSHWL3~~~~N,V
M,5~~~~,NS,C,MLO,NSMLO5~~~~A,S
M,6~~~~,NS,A,QUE,NSQUE6~~~~A,S
M,3~~~~,NS,D,THM,NSTHM3~~~~N,V
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N,U
M,5~~~~,NS,B,GIB,NSGIB5~~~~N,V
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
M,5~~~~,NS,B,HTN,NSHTN5~~~~N,V
M,6~~~~,NS,B,APG,NSAPG6~~~~N,V
M,5~~~~,NS,B,BWT,NSBWT5~~~~N,V
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N,U
M,3~~~~,NS,C,BWT,NSBWT3~~~~N,V
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,3~~~~,NS,D,HTN,NSHTN3~~~~N,V
M,4~~~~,NS,C,WFV,NSWFV4~~~~A,S
M,3~~~~,NS,C,GIB,NSGIB3~~~~N,V
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N,U
M,3~~~~,NS,C,GIB,NSGIB3~~~~N,V
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N,U
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N,U
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,3~~~~,NS,C,GIB,NSGIB3~~~~N,V
M,3~~~~,NS,C,BWT,NSBWT3~~~~N,V
M,3~~~~,NS,C,HWL,NSHWL3~~~~N,V
M,6~~~~,NS,B,APG,NSAPG6~~~~N,V
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N,U
U,2~~~~,NS,B,NUX,NSNUX2~~~~A,V
U,5~~~~,NS,B,GIB,NSGIB5~~~~N,V
U,5~~~~,NS,B,BWT,NSBWT5~~~~N,V
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
U,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
U,6~~~~,NS,A,APG,NSAPG6~~~~N,V
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
M,3~~~~,NS,C,BWT,NSBWT3~~~~N,V
M,2~~~~,NS,C,HBT,NSHBT2~~~~A,S
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N,U
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N,U
U,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
U,5~~~~,NS,B,HTN,NSHTN5~~~~N,V
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
U,6~~~~,NS,A,APG,NSAPG6~~~~N,V
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N,U
U,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
U,5~~~~,NS,B,HTN,NSHTN5~~~~N,V
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N,U
U,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
U,6~~~~,NS,A,APG,NSAPG6~~~~N,V
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
U,5~~~~,NS,B,HTN,NSHTN5~~~~N,V
M,2~~~~,NS,C,TBO,NSTBO2~~~~A,V
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N,U
M,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
U,6~~~~,NS,A,APG,NSAPG6~~~~N,V
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
M,5~~~~,NS,B,HTN,NSHTN5~~~~N,V
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N,U
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
M,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
M,4~~~~,NS,C,WFV,NSWFV4~~~~A,S
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N,U
L,~~~~~,NS,A,ZCB,NSZCB~~~~~N,N
R,~~~~~,NS,D,ZCB,NSZCB~~~~~N,N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
M,3~~~~,NS,C,BWT,NSBWT3~~~~N,V
U,5~~~~,NS,B,HTN,NSHTN5~~~~N,V
M,4~~~~,NS,C,WFV,NSWFV4~~~~A,V
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N,U
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
U,2~~~~,NS,B,HBT,NSHBT2~~~~A,V
U,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
U,5~~~~,NS,B,HTN,NSHTN5~~~~N,V
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
M,4~~~~,NS,C,WFV,NSWFV4~~~~A,V
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N,U
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N,U
M,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
M,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,5~~~~,NS,B,HTN,NSHTN5~~~~N,V
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
M,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N,U
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
M,5~~~~,NS,B,HFX,NSHFX5~~~~N,V
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
M,4~~~~,NS,C,WFV,NSWFV4~~~~A,S
L,~~~~~,NS,A,ZCB,NSZCB~~~~~N,U
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N,U
M,3~~~~,NS,C,HFX,NSHFX3~~~~N,V
M,3~~~~,NS,C,HTN,NSHTN3~~~~N,V
M,3~~~~,NS,C,BWT,NSBWT3~~~~N,S
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N,N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A,S
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N,U
M,4~~~~,NS,C,WFV,NSWFV4~~~~A,S
M,6~~~~,NS,B,APG,NSAPG6~~~~N,V
