LOCSF,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID,STONE
U,NS,B,HWL,NSHWL3~~~~N,S
M,NS,B,DGC,NSDGC5~~~~A,V
M,NS,C,QUE,NSQUE5~~~~A,S
M,NS,B,QUE,NSQUE6~~~~A,S
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,WOB,NSWOB4~~~~A,S
M,NS,C,THM,NSTHM3~~~~N,V
M,NS,C,HWL,NSHWL3~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,MLO,NSMLO5~~~~A,S
M,NS,A,THM,NSTHM6~~~~N,V
M,NS,D,DGC,NSDGC5~~~~A,S
M,NS,C,MLO,NSMLO5~~~~A,V
M,NS,B,QUE,NSQUE5~~~~A,S
M,NS,B,QUE,NSQUE6~~~~A,S
M,NS,B,WOB,NSWOB4~~~~A,S
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,THM,NSTHM3~~~~N,V
M,NS,C,HWL,NSHWL3~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,MLO,NSMLO5~~~~A,S
B13,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,QUE,NSQUE6~~~~A,S
M,NS,C,SUI,NSSUI3~~~~N,V
M,NS,C,HWL,NSHWL3~~~~N,V
M,NS,C,MLO,NSMLO5~~~~A,S
M,NS,A,QUE,NSQUE6~~~~A,S
M,NS,D,THM,NSTHM3~~~~N,V
M,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,B,GIB,NSGIB5~~~~N,V
B13,NS,A,CSY,NSCSY7~~~~N,N
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,B,HTN,NSHTN5~~~~N,V
M,NS,B,APG,NSAPG6~~~~N,V
M,NS,B,BWT,NSBWT5~~~~N,V
M,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,C,BWT,NSBWT3~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,D,HTN,NSHTN3~~~~N,V
M,NS,C,WFV,NSWFV4~~~~A,S
M,NS,C,GIB,NSGIB3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,GIB,NSGIB3~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
B13,NS,A,CSY,NSCSY7~~~~N,N
