LOCSF,MODIFIER,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID,STONE
D,gl~~~,AB,A,BUF,ABBUFgl~~~N,U
U,~~~~~,AB,A,KEG,ABKEG~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,SEN,ABSEN~~~~~N,N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,SEN,ABSEN~~~~~N,N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N,N
U,~~~~~,AB,A,HHY,ABHHY~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,COS,ABCOS~~~~~A,S
U,~~~~~,AB,A,RUT,ABRUT~~~~~N,S
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
D,~~~~~,AB,C,ZBR,ABZBR~~~~~N,S
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N,N
U,~~~~~,AB,A,HHY,ABHHY~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
U,~~~~~,AB,A,BUF,ABBUF~~~~~N,S
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,STP,ABSTP~~~~~N,S
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N,N
U,~~~~~,AB,A,BUF,ABBUF~~~~~N,S
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,STP,ABSTP~~~~~N,S
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
U,~~~~~,AB,A,BUF,ABBUF~~~~~N,S
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,STP,ABSTP~~~~~N,S
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,B,BUF,ABBUF~~~~~N,S
U,~~~~~,AB,A,HHY,ABHHY~~~~~N,N
U,~~~~~,AB,B,BUF,ABBUF~~~~~N,S
U,~~~~~,AB,A,HHY,ABHHY~~~~~N,N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
H,~~~~~,AB,C,BUF,ABBUF~~~~~N,S
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
M,~~~~~,BC,C,SIK,BCSIK~~~~~N,S
U,p~~~~,BC,B,KWE,BCKWEp~~~~N,S
L,~~~~~,BC,A,MCE,BCMCE~~~~~N,N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
U,~~~~~,AB,A,LGD,ABLGD~~~~~N,S
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
U,~~~~~,AB,A,JSN,ABJSN~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
U,~~~~~,AB,A,ZAV,ABZAV~~~~~N,S
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
L,~~~~~,AB,A,CHT,ABCHT~~~~~N,N
U,~~~~~,AB,A,SLT,ABSLT~~~~~N,N
U,~~~~~,AB,A,JSN,ABJSN~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
U,~~~~~,AB,A,JSN,ABJSN~~~~~N,N
L,~~~~~,AB,A,CHT,ABCHT~~~~~N,N
F13,xc~~~,AB,A,MLD,ABMLDxc~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
U,~~~~~,AB,B,COS,ABCOS~~~~~A,S
U,~~~~~,AB,A,MER,ABMER~~~~~N,S
U,~~~~~,AB,B,RUT,ABRUT~~~~~N,S
D,~~~~~,AB,C,ZBR,ABZBR~~~~~N,S
L,~~~~~,AB,A,CHT,ABCHT~~~~~N,N
U,~~~~~,AB,A,MMW,ABMMW~~~~~N,N
L,sa~~~,AB,A,ZGW,ABZGWsa~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
D,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
F13,xc~~~,AB,A,MLD,ABMLDxc~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
U,~~~~~,AB,A,JSN,ABJSN~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
U,~~~~~,AB,A,JSN,ABJSN~~~~~N,N
