LOCSF,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID,STONE
U,BC,A,BIK,BCBIK~~~~~A,N
B14,BC,A,KEZ,BCKEZ~~~~~N,N
U,BC,B,JUH,BCJUH~~~~~A,N
U,BC,B,KHE,BCKHE~~~~~A,N
S,BC,E,SEM,BCSEM~~~~~N,S
L,BC,A,GOS,BCGOS~~~~~A,N
U,BC,B,NMP,BCNMP~~~~~A,N
L,BC,A,EAG,BCEAG~~~~~A,N
L,BC,B,ESH,BCESH~~~~~A,N
D,BC,E,SEM,BCSEM~~~~~N,S
D,BC,E,ATT,BCATT~~~~~N,S
L,BC,A,ALV,BCALV~~~~~A,N
H,BC,B,RSD,BCRSD~~~~~A,N
H,BC,B,FLH,BCFLH~~~~~A,N
H,BC,B,BAT,BCBAT~~~~~A,N
L,BC,A,EAG,BCEAG~~~~~A,N
M,BC,B,ESH,BCESH~~~~~A,N
M,BC,B,FLH,BCFLH~~~~~A,N
M,BC,B,MUD,BCMUD~~~~~A,S
M,BC,B,ALC,BCALC~~~~~A,S
U,BC,A,BIK,BCBIK~~~~~A,N
U,BC,B,LYX,BCLYX~~~~~A,N
L,BC,A,EAG,BCEAG~~~~~A,N
L,BC,A,ALV,BCALV~~~~~A,N
L,BC,A,CUI,BCCUIca~~~A,N
B14,BC,A,KEZ,BCKEZ~~~~~N,N
U,BC,B,SUC,BCSUC~~~~~A,N
S,BC,E,SEM,BCSEM~~~~~N,S
U,BC,B,BYL,BCBYL~~~~~A,N
U,BC,B,LYX,BCLYX~~~~~A,N
B14,BC,A,KEZ,BCKEZ~~~~~N,N
D,BC,E,ATT,BCATT~~~~~N,S
D,BC,E,SEM,BCSEM~~~~~N,S
S,BC,F,ATT,BCATT~~~~~N,S
S,BC,F,SEM,BCSEM~~~~~N,S
U,BC,B,BEA,BCBEA~~~~~A,N
U,BC,B,BHM,BCBHM~~~~~A,N
U,BC,A,DON,BCDON~~~~~A,N
L,BC,A,SIP,BCSIP~~~~~A,N
L,BC,A,GOS,BCGOS~~~~~A,N
B14,BC,A,KEZ,BCKEZ~~~~~N,N
U,BC,A,SIP,BCSIP~~~~~A,N
U,BC,B,ALC,BCALC~~~~~A,S
U,BC,A,BIK,BCBIK~~~~~A,N
U,BC,B,CDE,BCCDE~~~~~A,N
B14,BC,A,KEZ,BCKEZ~~~~~N,N
L,BC,A,BYL,BCBYL~~~~~A,N
T,BC,B,CYU,BCCYU~~~~~A,N
T,BC,B,SUC,BCSUC~~~~~A,N
T,BC,B,POE,BCPOE~~~~~A,N
B14,BC,A,KEZ,BCKEZ~~~~~N,N
U,BC,B,BYL,BCBYL~~~~~A,N
U,BC,B,SUC,BCSUC~~~~~A,N
B14,BC,A,KEZ,BCKEZ~~~~~N,N
M,BC,C,MLY,BCMLY~~~~~A,S
L,BC,A,CUI,BCCUIca~~~A,N
U,BC,B,SUC,BCSUC~~~~~A,N
L,BC,A,EAG,BCEAG~~~~~A,N
L,BC,A,CTM,BCCTM~~~~~A,N
U,BC,B,LYX,BCLYX~~~~~A,N
U,BC,B,DVS,BCDVS~~~~~A,N
U,BC,B,SUC,BCSUC~~~~~A,N
U,BC,B,BYL,BCBYL~~~~~A,N
L,BC,A,EAG,BCEAG~~~~~A,N
U,BC,B,MLY,BCMLY~~~~~A,S
U,BC,B,CYU,BCCYU~~~~~A,N
B14,BC,A,KEZ,BCKEZ~~~~~N,N
U,BC,B,ESH,BCESH~~~~~A,N
U,BC,B,DON,BCDON~~~~~A,N
U,BC,B,CDE,BCCDE~~~~~A,N
U,BC,B,POA,BCPOA~~~~~A,N
U,BC,B,ALC,BCALC~~~~~A,S
L,BC,A,EAG,BCEAG~~~~~A,N
U,BC,B,JUH,BCJUH~~~~~A,N
U,BC,B,KHE,BCKHE~~~~~A,N
U,BC,B,JUH,BCJUH~~~~~A,N
U,BC,B,FLH,BCFLH~~~~~A,N
U,BC,B,BAT,BCBAT~~~~~A,N
