LOCSF,MODIFIER,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID
D,gl~~~,AB,A,BUF,ABBUFgl~~~N
U,~~~~~,AB,A,KEG,ABKEG~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,SEN,ABSEN~~~~~N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,SEN,ABSEN~~~~~N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N
U,~~~~~,AB,A,HHY,ABHHY~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,COS,ABCOS~~~~~A
U,~~~~~,AB,A,RUT,ABRUT~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
D,~~~~~,AB,C,ZBR,ABZBR~~~~~N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N
U,~~~~~,AB,A,HHY,ABHHY~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N
U,~~~~~,AB,A,BUF,ABBUF~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,STP,ABSTP~~~~~N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N
U,~~~~~,AB,A,BUF,ABBUF~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,STP,ABSTP~~~~~N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N
U,~~~~~,AB,A,BUF,ABBUF~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,STP,ABSTP~~~~~N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,B,BUF,ABBUF~~~~~N
U,~~~~~,AB,A,HHY,ABHHY~~~~~N
U,~~~~~,AB,B,BUF,ABBUF~~~~~N
U,~~~~~,AB,A,HHY,ABHHY~~~~~N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
H,~~~~~,AB,C,BUF,ABBUF~~~~~N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
M,~~~~~,BC,C,SIK,BCSIK~~~~~N
U,p~~~~,BC,B,KWE,BCKWEp~~~~N
L,~~~~~,BC,A,MCE,BCMCE~~~~~N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
U,~~~~~,AB,A,LGD,ABLGD~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
U,~~~~~,AB,A,JSN,ABJSN~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
U,~~~~~,AB,A,ZAV,ABZAV~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
B07,~~~~~,AB,A,MKW,ABMKW~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
L,~~~~~,AB,A,CHT,ABCHT~~~~~N
U,~~~~~,AB,A,SLT,ABSLT~~~~~N
U,~~~~~,AB,A,JSN,ABJSN~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
U,~~~~~,AB,A,JSN,ABJSN~~~~~N
L,~~~~~,AB,A,CHT,ABCHT~~~~~N
F13,xc~~~,AB,A,MLD,ABMLDxc~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
U,~~~~~,AB,B,COS,ABCOS~~~~~A
U,~~~~~,AB,A,MER,ABMER~~~~~N
U,~~~~~,AB,B,RUT,ABRUT~~~~~N
D,~~~~~,AB,C,ZBR,ABZBR~~~~~N
L,~~~~~,AB,A,CHT,ABCHT~~~~~N
U,~~~~~,AB,A,MMW,ABMMW~~~~~N
L,sa~~~,AB,A,ZGW,ABZGWsa~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
D,~~~~~,AB,A,DOV,ABDOV~~~~~N
F13,xc~~~,AB,A,MLD,ABMLDxc~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
U,~~~~~,AB,A,JSN,ABJSN~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
U,~~~~~,AB,A,JSN,ABJSN~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,pt~~~,AB,A,KEG,ABKEGpt~~~N
U,~~~~~,AB,A,LRC,ABLRC~~~~~A
U,~~~~~,AB,A,MER,ABMER~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
F13,xc~~~,AB,A,MLD,ABMLDxc~~~N
T,~~~~~,AB,A,MMY,ABMMY~~~~~N
U,~~~~~,AB,A,MMW,ABMMW~~~~~N
U,~~~~~,AB,A,LRC,ABLRC~~~~~A
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,SIP,ABSIP~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
U,~~~~~,AB,A,COS,ABCOS~~~~~A
F13,xc~~~,AB,A,MLD,ABMLDxc~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N
U,~~~~~,AB,A,PEA,ABPEA~~~~~N
U,~~~~~,AB,A,HKS,ABHKS~~~~~A
U,~~~~~,AB,A,MNS,ABMNS~~~~~N
U,~~~~~,AB,A,SEN,ABSEN~~~~~N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
U,~~~~~,AB,A,ALG,ABALG~~~~~N
U,~~~~~,AB,A,COS,ABCOS~~~~~A
F13,xc~~~,AB,A,MLD,ABMLDxc~~~N
M,~~~~~,AB,C,HZM,ABHZM~~~~~A
M,~~~~~,AB,C,BUD,ABBUD~~~~~N
U,~~~~~,AB,B,MNS,ABMNS~~~~~N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N
U,~~~~~,AB,A,CHT,ABCHT~~~~~N
F13,~~~~~,AB,A,MRN,ABMRN~~~~~N
U,~~~~~,AB,A,NAM,ABNAM~~~~~N
U,~~~~~,AB,A,CAL,ABCAL~~~~~N
U,~~~~~,AB,B,COS,ABCOS~~~~~A
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N
U,pt~~~,AB,A,SIP,ABSIPpt~~~N
