AtcoCode,CommonName,Landmark,ModificationDateTime,Notes,StopType
1800EDH3781, Bridge Street (NW Bnd),Carr Lane/ Bridge Street (NW Bnd),2010-10-13T00:00:00,,BCT
1800WKH4032, Churchlands Lane,CHURCHLANDS LA,2007-11-01T00:00:00,,BCT
1800WK02442,1800ZZMALDY2,SENNICAR LANE,2006-01-20T00:00:00,,BCT
1800SG44991,A34 Bridge,HOUSE 61,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800SGH2781,A34 Roundabout (to def rte),HANDFORTH BYPAS,2007-11-01T00:00:00,,BCT
1800SGH2782,A34 Roundabout (to def rte),HANDFORTH BYPAS,2007-11-01T00:00:00,,BCT
1800WA02631,A6 Bypass,HOUSE 74,2014-10-14T00:00:00,INDICATOR AMENDED,BCT
1800WA02701,A6 Bypass,,2014-10-14T00:00:00,INDICATOR AMENDED,BCT
1800WAH1041,A6027 (eastbd)(to def rte),CHORLEY ROAD,2010-03-29T00:00:00,NAME AMENDE,BCT
1800WAH1051,A6027 (westbound)(to def rte),CHORLEY ROAD,2010-03-29T00:00:00,NAME AMENDED,BCT
1800WAH1091,A6027 R'about (to def rte),A6027,2007-11-01T00:00:00,,BCT
1800WAH1092,A6027 R'about (to def rte),A6027,2007-11-01T00:00:00,,BCT
1800EDH2141,A62 e'bnd (to define route),STANDEDGE RD OP,2008-07-18T00:00:00,NAME AMENDED,BCT
1800EDH2201,A62 e'bnd (to define route),HUDD'FLD RD OPP,2008-07-18T00:00:00,NAME AMENDED,BCT
1800EDH2161,A62 eastbnd(to define route),NR GLOBE FARM,2008-06-03T00:00:00,INDICATOR AMENDED,BCT
1800EDH2191,A62 westbnd(to define route),Hudd'fd Rd/A62 westbnd(to define route),2007-11-01T00:00:00,,BCT
1800EDH2151,A62 westbnd(to define route),STANDEDGE ROAD,2007-11-01T00:00:00,,BCT
1800EDH2211,A62 westbnd(to define route),HUDDERSFIELD RD,2007-11-01T00:00:00,,BCT
1800EDH3311,A627 (M) (to define route),A627 (M) (to define route),2007-11-01T00:00:00,,BCT
1800NEH4101,A627 (M) Southbound (to define route),A627 (M) Southbound (to define route),2007-11-01T00:00:00,,BCT
1800NEH0492,A627 Slattocks Link Rd (to def route),A627 Slattocks Link Rd (to def route),2008-08-19T00:00:00,NAME AMENDED,BCT
1800NEH0491,A627 Slattocks Link Rd (to def route),A627 Slattocks Link Rd (to def route),2008-08-19T00:00:00,NAME AMENDED,BCT
1800ED02491,A627M,MOTORWAY BRIDGE,2010-04-15T00:00:00,INDICATOR AMENDED,BCT
1800ED02481,A627M,MOTORWAY BRIDGE,2010-04-15T00:00:00,INDICATOR AMENDED,BCT
1800NEH0501,A627M Slip Road (to def rte),SLATTOCKS LINK,2010-03-29T00:00:00,NAME AMENDED,BCT
1800WAH2841,A666 (Nbd - to define route),A666 (Nbd - to define route),2007-11-01T00:00:00,,BCT
1800WAH2831,A666 (Nbd - to define route),BOLTON RD SLIP,2007-11-01T00:00:00,,BCT
1800WAH2851,A666 (Sbd - to define route),A666 (Sbd - to define route),2007-11-01T00:00:00,,BCT
1800WAH2261,A666 link (Nbd - to define route),JUNCTION 3,2009-01-12T00:00:00,INDICATOR AMENDED,BCT
1800SBH1321,Abberton Rd (NWbd),Abberton Rd (NWbd),2007-11-01T00:00:00,,BCT
1800SBH1322,Abberton Road,SANDHURST AVE,2015-10-14T00:00:00,,BCT
1800NC23271,Abbey Cl,HOUSE 61,2007-11-01T00:00:00,,BCT
1800NF29041,Abbey Gr,THE ASCOTT HTL,2007-11-01T00:00:00,,BCT
1800EHH2121,Abbey Hey Lane (N bnd),VIOLET ST,2010-06-03T00:00:00,,BCT
1800EBH0501,Abbey Hey Lane (Sbnd),ACKROYD ST,2010-06-03T00:00:00,DIRECTION AMENDED,BCT
1800EBH2031,Abbey Hey Ln (Nbnd),VIOLET ST,2010-06-03T00:00:00,,BCT
1800WK35651,Abbey Ln,,2007-11-01T00:00:00,,BCT
1800WK35661,Abbey Ln,HOUSE 218,2008-03-26T00:00:00,INDICATOR AMENDED,BCT
1800WK08681,Abbey Ln,HOUSE 22,2014-02-13T00:00:00,indicator amended,BCT
1800NE41031,Abbey Rd,HOUSE 24,2007-11-01T00:00:00,,BCT
1800NE03011,Abbey Rd,HOUSE 32,2007-11-01T00:00:00,,BCT
1800ED08841,Abbeyhills Rd,,2010-04-15T00:00:00,INDICATOR AMENDED,BCT
1800ED08791,Abbeyhills Rd,HOUSE 10,2007-11-01T00:00:00,,BCT
