AtcoCode,Bearing,CreationDateTime,GrandParentLocalityName,Notes,NptgLocalityCode
1800NE07781,S,2007-11-01T00:00:00,,,N0074880
1800NE03311,S,2007-11-01T00:00:00,,,E0029472
1800NE26211,NW,2010-04-26T00:00:00,,INDICATOR AMENDED,E0028791
1800SB04871,E,2007-11-01T00:00:00,,,E0057786
1800WA03301,E,2007-11-01T00:00:00,,,N0075136
1800WA03461,E,2007-11-01T00:00:00,,,N0075136
1800WA03231,E,2007-11-01T00:00:00,,,N0075136
1800WA03361,E,2007-11-01T00:00:00,,,N0075136
1800WA03311,E,2007-11-01T00:00:00,,,N0075136
1800NEH1422,S,2007-11-01T00:00:00,,,E0028791
1800NEH1421,N,2007-11-01T00:00:00,,,E0028791
1800WA02091,SE,2014-10-14T00:00:00,,INDICATOR AMENDED,E0052667
1800NC06791,N,2010-04-21T00:00:00,Bury,INDICATOR AMENDED,E0028409
1800NC06781,S,2010-04-21T00:00:00,Bury,INDICATOR AMENDED,E0028409
1800SB12921,N,2007-11-01T00:00:00,Manchester,,E0029575
1800NCH3161,SE,2007-11-01T00:00:00,,,E0029302
1800NCH3162,NW,2007-11-01T00:00:00,,,E0029302
1800WA20301,W,2014-05-15T00:00:00,,indicator amended,E0028638
1800EB22071,E,2007-11-01T00:00:00,,,N0075088
1800NC22361,N,2010-04-23T00:00:00,,INDICATOR AMENDED,E0029495
1800EHH1932,N,2007-11-01T00:00:00,,,E0029109
1800EHH1931,S,2007-11-01T00:00:00,,,E0029109
1800EH06891,S,2010-10-19T00:00:00,,NAME AMENDED,E0028492
1800NEH3851,NE,2007-11-01T00:00:00,Rochdale,,N0074956
1800NEH3852,SW,2007-11-01T00:00:00,Rochdale,,N0074956
1800SB15951,W,2009-09-09T00:00:00,Manchester,STOP RELOCATED,E0028539
1800SB15931,E,2007-11-01T00:00:00,Manchester,,E0028539
1800ED00821,,2007-11-01T00:00:00,,,N0075108
1800ED10151,,2007-11-01T00:00:00,,,N0075108
1800ED10131,,2007-11-01T00:00:00,,,N0075108
1800ED10141,,2007-11-01T00:00:00,,,N0075108
1800EDT1191,,2004-09-14T00:00:00,,,N0075108
1800NBH0252,E,2007-11-01T00:00:00,,,E0028798
1800NBH0251,NW,2011-01-13T00:00:00,,DIRECTION AMENDED,E0028798
1800NBH1111,SE,2011-01-13T00:00:00,,,E0028798
1800NF40121,S,2011-03-11T00:00:00,,INDICATOR AMENDED,E0029003
1800SJ11851,NW,2014-10-09T00:00:00,,INDICATOR AMENDED,E0028730
1800SJ11281,SE,2014-10-09T00:00:00,,INDICATOR AMENDED,E0028730
1800NF40071,SE,2011-03-11T00:00:00,,indicator amended,E0028800
1800NF40081,NW,2011-03-11T00:00:00,,NAME AMENDED,E0028800
1800NE02491,SW,2015-04-06T00:00:00,,STOP LOCATION AMENDED,E0028508
1800NB35021,E,2007-11-01T00:00:00,Manchester,,N0074933
1800SBH1771,W,2009-05-20T00:00:00,,MAIN ROAD AMENDED,E0028715
1800SBH1772,E,2009-05-20T00:00:00,,MAIN ROAD AMENDED,E0028715
1800NEH1351,E,2011-02-10T00:00:00,,DIRECTION AMENDED,E0028791
1800NEH1371,W,2011-02-10T00:00:00,Rochdale,LOCATION AMENDED,N0074925
1800NEH1352,E,2007-11-01T00:00:00,,,E0028791
1800NC42501,NW,2008-11-14T00:00:00,Salford,Stop Movement,N0075032
1800NC05261,SE,2010-04-21T00:00:00,Salford,INDICATOR AMENDED,N0075032
1800NC42502,NW,2006-05-19T00:00:00,Salford,,N0075032
1800EBH0922,S,2005-05-24T00:00:00,,,E0028544
1800EBH0921,W,2007-11-01T00:00:00,,,E0028544
1800WA12111,SW,2007-11-01T00:00:00,,,E0028752
1800WA12101,NE,2007-11-01T00:00:00,,,E0028752
1800NC22801,SE,2007-11-01T00:00:00,,,E0028476
1800NC22811,NW,2010-01-12T00:00:00,,LOCATION AMENDED,E0028476
1800WA15541,S,2007-11-01T00:00:00,,,E0028979
1800SG08301,N,2014-02-17T00:00:00,,INDICATOR AMENDED,E0029163
1800SG40001,NW,2014-02-13T00:00:00,,INDICATOR AMENDED,E0028783
1800SG40541,SE,2014-02-13T00:00:00,,INDICATOR AMENDED,E0028783
1800SB30971,W,2007-11-01T00:00:00,,,N0074979
1800SB30961,E,2007-11-01T00:00:00,,,N0074979
1800ED08631,NW,2010-03-30T00:00:00,,INDICATOR AMENDED,E0029224
1800NF29091,SW,2011-03-03T00:00:00,Salford,name amended,E0028378
1800SJ03221,E,2014-09-26T00:00:00,,INDICATOR AMENDED,E0029470
1800SJ04171,W,2014-09-26T00:00:00,,INDICATOR AMENDED,E0029470
1800SB12311,NW,2007-11-01T00:00:00,,,E0029594
1800SB12321,SE,2007-11-01T00:00:00,,,E0029594
1800NEH1641,SE,2007-11-01T00:00:00,,,N0074880
1800NEH1642,NW,2007-11-01T00:00:00,,,N0074880
1800WK13291,W,2014-02-12T00:00:00,,indicator amended,E0028762
1800SG35831,E,2007-11-01T00:00:00,,,E0029038
1800SG35821,E,2007-11-01T00:00:00,,,E0029038
1800SG35841,W,2007-11-01T00:00:00,,,E0029038
1800ED13471,N,2010-04-15T00:00:00,,INDICATOR AMENDED,E0029045
1800ED13481,S,2010-04-15T00:00:00,,INDICATOR AMENDED,E0029045
1800SJE1851,,2004-09-14T00:00:00,,,N0075095
1800SJE1841,,2004-09-14T00:00:00,,,N0075095
1800SJR4921,,2005-05-24T00:00:00,,,N0075095
1800SJR0331,,2005-05-24T00:00:00,,,N0075095
1800ZZMANAV1,,2004-09-14T00:00:00,,,N0075095
1800ZZMANAV2,,2004-09-14T00:00:00,,,N0075095
1800NAVGTNR0,,2014-01-16T00:00:00,,,N0075095
1800SJ49371,W,2007-11-01T00:00:00,,,N0075095
1800SJ49421,E,2007-11-01T00:00:00,,,N0075095
1800WK00151,S,2013-05-18T00:00:00,,INDICATOR AMENDED,E0028447
1800WK00141,N,2013-05-18T00:00:00,,INDICATOR AMENDED,E0028447
1800EB32261,NE,2007-11-01T00:00:00,,,E0029063
1800EB32271,SW,2010-04-15T00:00:00,,INDICATOR AMENDED,E0029063
1800EBH1192,SW,2007-11-01T00:00:00,,,E0029063
1800EBH1191,NE,2007-11-01T00:00:00,,,E0029063
1800EDH3462,SW,2007-11-01T00:00:00,,,E0029510
1800EDH3461,NE,2007-11-01T00:00:00,,,E0029510
1800SB42921,S,2007-11-01T00:00:00,,,E0029594
1800SB42881,NW,2007-11-01T00:00:00,,,E0029594
1800SBH0481,E,2007-11-01T00:00:00,,,E0028505
1800SB46001,S,2007-11-01T00:00:00,,,E0028505
1800SB45991,N,2010-05-11T00:00:00,,ELS AMENDED,E0028505
1800NB43871,N,2010-04-20T00:00:00,,INDICATOR AMENDED,E0028704
1800SB08721,E,2007-11-01T00:00:00,,,E0028505
1800SBH1581,N,2007-11-01T00:00:00,,,E0028713
1800SBH0151,NW,2010-06-03T00:00:00,Manchester,DIRECTION AMENDED,N0076717
1800SBH1271,SE,2010-06-03T00:00:00,Manchester,SIRECTION AMENDED,N0076717
1800SBH1272,SE,2007-11-01T00:00:00,Manchester,,N0076717
1800SB32901,SW,2007-11-01T00:00:00,Manchester,,N0076717
1800SB33831,NE,2008-02-15T00:00:00,Manchester,STOP NAME AMENDED,E0029519
1800SB33581,S,2007-11-01T00:00:00,Manchester,,E0029519
1800SB32891,NE,2007-11-01T00:00:00,Manchester,,N0076717
1800SB33181,NE,2007-11-01T00:00:00,Manchester,,E0029519
1800SB08931,SW,2008-02-15T00:00:00,Manchester,STOP NAME AMENDED,E0029519
1800NF40331,NE,2007-11-01T00:00:00,,,E0029003
1800NF40321,SW,2007-11-01T00:00:00,,,E0029003
1800EH48231,E,2007-11-01T00:00:00,,,N0074964
1800ED35311,E,2007-11-01T00:00:00,,,E0028385
1800ED35301,W,2007-11-01T00:00:00,,,E0028385
1800SG39321,S,2014-02-24T00:00:00,,INDICATOR AMENDED,E0028777
