AtcoCode,ModificationDateTime,NaptanCode,NptgLocalityCode,ShortCommonName
1800EDH3781,2010-10-13T00:00:00,,E0029480,
1800WKH4032,2007-11-01T00:00:00,,E0029368,
1800WK02442,2006-01-20T00:00:00,,E0052676,
1800SG44991,2014-02-17T00:00:00,MANJMGMW,N0075002,A34 Bridge
1800SGH2781,2007-11-01T00:00:00,,E0028438,
1800SGH2782,2007-11-01T00:00:00,,E0028438,
1800WA02631,2014-10-14T00:00:00,MANJWGAM,E0052666,A6 Bypass
1800WA02701,2014-10-14T00:00:00,MANJWGAT,E0052666,A6 Bypass
1800WAH1041,2010-03-29T00:00:00,,E0028276,
1800WAH1051,2010-03-29T00:00:00,,E0028276,
1800WAH1091,2007-11-01T00:00:00,,N0075079,
1800WAH1092,2007-11-01T00:00:00,,N0075079,
1800EDH2141,2008-07-18T00:00:00,,E0028339,
1800EDH2201,2008-07-18T00:00:00,,E0028339,
1800EDH2161,2008-06-03T00:00:00,,E0028339,
1800EDH2191,2007-11-01T00:00:00,,E0028339,
1800EDH2151,2007-11-01T00:00:00,,E0028339,
1800EDH2211,2007-11-01T00:00:00,,E0028339,
1800EDH3311,2007-11-01T00:00:00,,E0029277,
1800NEH4101,2007-11-01T00:00:00,,E0028910,
1800NEH0492,2008-08-19T00:00:00,,E0029365,
1800NEH0491,2008-08-19T00:00:00,,E0029365,
1800ED02491,2010-04-15T00:00:00,MANAJWMG,E0029385,A627M
1800ED02481,2010-04-15T00:00:00,MANAJWMD,E0029385,A627M
1800NEH0501,2010-03-29T00:00:00,,E0029365,
1800WAH2841,2007-11-01T00:00:00,,E0028392,
1800WAH2831,2007-11-01T00:00:00,,E0028654,
1800WAH2851,2007-11-01T00:00:00,,E0028392,
1800WAH2261,2009-01-12T00:00:00,,E0028898,
1800SBH1321,2007-11-01T00:00:00,,E0029558,
1800SBH1322,2015-10-14T00:00:00,,E0029558,
1800NC23271,2007-11-01T00:00:00,MANDTAPW,N0074899,Abbey Cl
1800NF29041,2007-11-01T00:00:00,MANGMGAJ,E0028369,Abbey Gr
1800EHH2121,2010-06-03T00:00:00,,E0028241,
1800EBH0501,2010-06-03T00:00:00,,E0028241,
1800EBH2031,2010-06-03T00:00:00,,E0028241,
1800WK35651,2007-11-01T00:00:00,MANTAWDJ,N0074874,Abbey Ln
1800WK35661,2008-03-26T00:00:00,MANTAWDM,N0074874,Abbey Ln
1800WK08681,2014-02-13T00:00:00,MANPWDGM,N0074874,Abbey Ln
1800NE41031,2007-11-01T00:00:00,MANGDPDM,N0075013,Abbey Rd
1800NE03011,2007-11-01T00:00:00,MANDWGMA,N0075013,Abbey Rd
1800ED08841,2010-04-15T00:00:00,MANAMGDJ,E0028846,Abbeyhills Rd
