AtcoCode,Bearing,CreationDateTime,GrandParentLocalityName,Notes,NptgLocalityCode
1800EDH3781,NW,2010-10-13T00:00:00,,,E0029480
1800WKH4032,S,2007-11-01T00:00:00,,,E0029368
1800WK02442,SE,2006-01-20T00:00:00,Wigan,,E0052676
1800SG44991,E,2014-02-17T00:00:00,,INDICATOR AMENDED,N0075002
1800SGH2781,S,2007-11-01T00:00:00,,,E0028438
1800SGH2782,N,2007-11-01T00:00:00,,,E0028438
1800WA02631,S,2014-10-14T00:00:00,,INDICATOR AMENDED,E0052666
1800WA02701,N,2014-10-14T00:00:00,,INDICATOR AMENDED,E0052666
1800WAH1041,NE,2010-03-29T00:00:00,,NAME AMENDE,E0028276
1800WAH1051,SW,2010-03-29T00:00:00,,NAME AMENDED,E0028276
1800WAH1091,NW,2007-11-01T00:00:00,,,N0075079
1800WAH1092,SE,2007-11-01T00:00:00,,,N0075079
1800EDH2141,NE,2008-07-18T00:00:00,,NAME AMENDED,E0028339
1800EDH2201,E,2008-07-18T00:00:00,,NAME AMENDED,E0028339
1800EDH2161,SE,2008-06-03T00:00:00,,INDICATOR AMENDED,E0028339
1800EDH2191,E,2007-11-01T00:00:00,,,E0028339
1800EDH2151,SW,2007-11-01T00:00:00,,,E0028339
1800EDH2211,W,2007-11-01T00:00:00,,,E0028339
1800EDH3311,S,2007-11-01T00:00:00,,,E0029277
1800NEH4101,S,2007-11-01T00:00:00,,,E0028910
1800NEH0492,W,2008-08-19T00:00:00,,NAME AMENDED,E0029365
1800NEH0491,S,2008-08-19T00:00:00,,NAME AMENDED,E0029365
1800ED02491,NE,2010-04-15T00:00:00,,INDICATOR AMENDED,E0029385
1800ED02481,SW,2010-04-15T00:00:00,,INDICATOR AMENDED,E0029385
1800NEH0501,N,2010-03-29T00:00:00,,NAME AMENDED,E0029365
1800WAH2841,NW,2007-11-01T00:00:00,,,E0028392
1800WAH2831,NW,2007-11-01T00:00:00,,,E0028654
1800WAH2851,SE,2007-11-01T00:00:00,,,E0028392
1800WAH2261,NE,2009-01-12T00:00:00,,INDICATOR AMENDED,E0028898
1800SBH1321,N,2007-11-01T00:00:00,,,E0029558
1800SBH1322,S,2015-10-14T00:00:00,,,E0029558
1800NC23271,W,2007-11-01T00:00:00,Bury,,N0074899
1800NF29041,W,2007-11-01T00:00:00,,,E0028369
1800EHH2121,N,2010-06-03T00:00:00,Manchester,,E0028241
1800EBH0501,S,2010-06-03T00:00:00,Manchester,DIRECTION AMENDED,E0028241
1800EBH2031,N,2010-06-03T00:00:00,Manchester,,E0028241
1800WK35651,N,2007-11-01T00:00:00,,,N0074874
1800WK35661,S,2008-03-26T00:00:00,,INDICATOR AMENDED,N0074874
1800WK08681,N,2014-02-13T00:00:00,,indicator amended,N0074874
1800NE41031,W,2007-11-01T00:00:00,,,N0075013
1800NE03011,E,2007-11-01T00:00:00,,,N0075013
1800ED08841,SW,2010-04-15T00:00:00,,INDICATOR AMENDED,E0028846
1800ED08791,S,2007-11-01T00:00:00,,,E0029209
1800ED08421,N,2007-11-01T00:00:00,,,E0029209
1800ED08792,N,2006-05-24T00:00:00,,,E0029209
1800ED19141,NW,2007-11-01T00:00:00,,,E0028333
1800EDH2522,SE,2007-11-01T00:00:00,,,E0028333
1800NE03401,N,2007-11-01T00:00:00,Rochdale,,N0074934
1800NEH0231,NW,2011-01-26T00:00:00,Rochdale,LOCATION AMENDED,N0074934
1800NEH0102,NW,2007-11-01T00:00:00,Rochdale,,N0074934
1800NEH0101,SE,2007-11-01T00:00:00,Rochdale,,N0074934
1800NCH2062,W,2007-11-01T00:00:00,,,E0029232
1800NCH1891,SW,2007-11-01T00:00:00,,,E0029232
1800NCH1892,NE,2007-11-01T00:00:00,,,E0029232
1800NCH2061,E,2007-11-01T00:00:00,,,E0029232
1800NB40731,S,2010-04-20T00:00:00,,INDICATOR AMENDED,E0028704
1800WA12921,SE,2007-11-01T00:00:00,,,N0075151
1800WA12931,NW,2007-11-01T00:00:00,,,N0075151
1800NE00501,E,2015-04-02T00:00:00,,STOP LOCATION AMENDED,E0029322
1800WA20421,SE,2014-05-15T00:00:00,,indicator amended,E0052667
1800WA20411,NW,2014-05-15T00:00:00,,indicator amended,E0052667
1800WK00711,SW,2013-05-18T00:00:00,,INDICATOR AMENDED,E0029211
1800WK00721,NE,2013-05-18T00:00:00,,INDICATOR AMENDED,E0029211
1800SJ47601,W,2015-01-30T00:00:00,,INDICATOR AMENDED,E0028623
1800ZZMAABM1,,2011-03-04T00:00:00,,,E0028704
1800ZZMAABM2,,2011-03-04T00:00:00,,,E0028704
1800NB40881,E,2011-01-06T00:00:00,,INDICATOR AMENDED,E0028704
1800NB40871,W,2007-11-01T00:00:00,,,E0028704
1800WK37781,S,2007-11-01T00:00:00,,,E0028244
1800WK37801,N,2014-02-18T00:00:00,,indicator amended,E0028244
1800WK37791,N,2007-11-01T00:00:00,,,E0028244
1800NF40641,S,2015-11-22T00:00:00,,STOP LOCATION AMENDED,E0029017
1800NF40631,N,2007-11-01T00:00:00,,,E0029017
1800WKH0702,W,2010-05-26T00:00:00,,REMOVED,E0028535
1800WKH0701,E,2010-05-26T00:00:00,,REMOVED,E0028535
1800ED28811,N,2007-11-01T00:00:00,,,E0028969
1800ED28821,S,2016-08-25T00:00:00,,STOP LOCATION AMENDED,E0028969
1800EB03871,S,2010-03-25T00:00:00,,INDICATOR AMENDED,E0028653
1800EB03861,N,2007-11-01T00:00:00,,,E0028653
1800SG12351,E,2014-02-18T00:00:00,,INDICATOR AMENDED,E0028595
1800SG05691,W,2014-02-18T00:00:00,,INDICATOR AMENDED,E0028595
