AtcoCode,ModificationDateTime,NaptanCode,NptgLocalityCode,ShortCommonName
1800EDH2722,2007-11-01T00:00:00,,E0028426,
1800NC07491,2007-11-01T00:00:00,MANDPDAP,E0029324,Church Rd
1800EDH2721,2007-11-01T00:00:00,,E0028426,
1800NC07481,2010-01-12T00:00:00,MANDPDAM,E0029324,Church Rd
1800SG05481,2014-02-18T00:00:00,MANJAGWM,E0029341,Church Rd
1800WAH2861,2008-08-01T00:00:00,,E0028392,
1800WAH2871,2008-08-01T00:00:00,,E0028392,
1800SJ03191,2014-09-26T00:00:00,MANJPDTM,E0028358,Church Rectory
1800WA08301,2007-11-01T00:00:00,MANJWMGD,E0028348,Church Road
1800EDH2021,2010-10-12T00:00:00,,E0029480,
1800SGH3691,2007-11-01T00:00:00,,E0028432,
1800SJ03501,2007-11-01T00:00:00,MANJPGJW,E0028410,Church Road
1800WA15351,2007-11-01T00:00:00,MANPATAJ,E0028392,Church Road
1800SJH1951,2009-05-18T00:00:00,,E0028410,
1800EDH0711,2007-11-01T00:00:00,,E0028286,
1800EDH0712,2005-05-24T00:00:00,,E0028286,
1800WAH2302,2007-11-01T00:00:00,,E0028392,
1800EDH2022,2007-11-01T00:00:00,,E0029480,
1800SJ03491,2007-11-01T00:00:00,MANJPGJT,E0028410,Church Road
1800WAH2301,2007-11-01T00:00:00,,E0028392,
1800SJH1952,2009-05-18T00:00:00,,E0028410,
1800EDH3761,2010-10-12T00:00:00,,E0029480,
1800EH46141,2007-11-01T00:00:00,MANDGWTM,E0028357,Church St
1800WK09181,2014-02-13T00:00:00,MANPWDWD,E0029177,Church St
1800WK04751,2014-02-17T00:00:00,MANPTGMP,E0029177,Church St
1800NCH3742,2007-11-01T00:00:00,,E0028250,
1800EH05611,2007-11-01T00:00:00,MANAWGPW,E0028357,Church St
1800NE00321,2011-01-20T00:00:00,MANDTWPM,E0028987,Church St
1800WA34921,2014-02-28T00:00:00,MANPGMGM,E0052667,Church St
1800WK37971,2007-11-01T00:00:00,MANTDMAP,E0028447,Church St
1800NF29261,2007-11-01T00:00:00,MANGMGMG,E0028369,Church St
1800NCH0092,2007-11-01T00:00:00,,E0029495,
1800NCH0091,2007-11-01T00:00:00,,E0029495,
1800NEH1611,2007-11-01T00:00:00,,E0028791,
1800NEH1612,2007-11-01T00:00:00,,E0028791,
1800ED12011,2014-10-15T00:00:00,MANAMPTM,E0029506,Church St East
1800ED30611,2014-10-15T00:00:00,MANATMPW,E0029506,Church St East
1800WAH2702,2007-11-01T00:00:00,,E0052666,
1800EHH0511,2007-11-01T00:00:00,,E0028879,
1800WK37951,2007-11-01T00:00:00,MANTDMAM,E0028447,Church St
1800SGH1041,2007-11-01T00:00:00,,E0029038,
1800WAH2701,2007-11-01T00:00:00,,E0052666,
1800WA15631,2007-11-01T00:00:00,MANPATGP,E0028979,Church Street
1800SG17571,2011-02-10T00:00:00,MANTPDTD,E0029171,Church Street
1800EHH0512,2007-11-01T00:00:00,,E0028879,
1800WA15641,2007-11-01T00:00:00,MANPATGT,E0028979,Church Street
1800SGH1042,2007-11-01T00:00:00,,E0029038,
1800SJ17581,2014-10-09T00:00:00,MANTPDTJ,E0029171,Church Street
1800SJH2161,2007-11-01T00:00:00,,E0028261,
1800NE00322,2006-01-20T00:00:00,,E0028987,
1800SJH1621,2007-11-01T00:00:00,,E0028261,
1800SJH1622,2007-11-01T00:00:00,,E0028261,
1800EBH1891,2007-11-01T00:00:00,,E0057786,
1800EH21381,2010-04-19T00:00:00,MANDAJGM,E0029252,Church Walk
1800WAH2471,2007-11-01T00:00:00,,E0028979,
1800WAH1442,2007-11-01T00:00:00,,E0028979,
1800WAH1441,2007-11-01T00:00:00,,E0028979,
1800WAH2462,2008-06-02T00:00:00,,E0028979,
1800WAH2472,2007-11-01T00:00:00,,E0028979,
1800WAH2461,2008-06-02T00:00:00,,E0028979,
1800WAH1451,2007-11-01T00:00:00,,E0028979,
1800WAH1452,2007-11-01T00:00:00,,E0028979,
1800WAH4201,2015-05-14T00:00:00,,E0028979,
1800WAH4221,2015-05-18T00:00:00,,E0028979,
1800ED15771,2007-11-01T00:00:00,MANAPGTP,E0057798,Churchill St
1800NE48831,2007-11-01T00:00:00,MANGDWGT,N0075155,Churchill St
1800NE48751,2007-11-01T00:00:00,MANGDWDP,N0075155,Churchill St
1800NE48761,2007-11-01T00:00:00,MANGDWDT,N0075155,Churchill St
1800NE01341,2010-04-24T00:00:00,MANDWDGJ,N0075155,Churchill St
1800NE48821,2007-11-01T00:00:00,MANGDWGP,N0075155,Churchill St
1800ED00021,2007-11-01T00:00:00,MANAJPDJ,E0057798,Churchill Street
1800NE01342,2006-01-20T00:00:00,,E0057799,
1800WKH4031,2010-05-14T00:00:00,,E0029368,
1800WA09751,2007-11-01T00:00:00,MANTGTMA,E0029119,Churchside
1800WA10061,2007-11-01T00:00:00,MANJWPJG,E0029119,Churchside
1800WA10062,2006-05-31T00:00:00,,E0029119,
1800SB10421,2007-11-01T00:00:00,MANGPTAJ,E0029102,Churton Ave
1800WA19761,2014-05-15T00:00:00,MANPDPWM,E0028524,Cinder Lane
1800WA19691,2014-05-15T00:00:00,MANPDPWD,E0028524,Cinder Lane
1800SB34381,2007-11-01T00:00:00,MANGWJAP,E0029519,Circular Rd
1800SBH0061,2007-11-01T00:00:00,,N0074942,
1800NB20971,2011-01-06T00:00:00,MANDJTGM,E0057786,C.I.S.
1800SJ01121,2014-05-20T00:00:00,MANJMTAG,E0029481,Ciss Lane
1800SJ01231,2014-05-20T00:00:00,MANJMTDT,E0029481,Ciss Lane
1800EB32951,2007-11-01T00:00:00,MANAGWDT,E0028720,City Academy
1800SBT0121,2004-09-14T00:00:00,,E0057786,
1800NBT0141,2004-09-14T00:00:00,,N0077372,
1800SBT0151,2004-09-14T00:00:00,,E0057786,
1800NBT0161,2004-09-14T00:00:00,,E0057786,
1800SBT0641,2004-09-14T00:00:00,,E0057786,
1800NBT0211,2004-09-14T00:00:00,,N0074933,
1800NBT0221,2004-09-14T00:00:00,,N0074933,
1800EBT0271,2004-09-14T00:00:00,,E0057786,
1800EBT0311,2004-09-14T00:00:00,,E0057786,
1800EBT0321,2004-09-14T00:00:00,,E0057786,
1800EBT0331,2004-09-14T00:00:00,,E0057786,
1800SBT0351,2004-09-14T00:00:00,,E0057786,
1800SBT0361,2004-09-14T00:00:00,,E0057786,
1800SBT0401,2004-09-14T00:00:00,,N0075071,
1800SBT0411,2004-09-14T00:00:00,,N0075071,
1800SBT0421,2004-09-14T00:00:00,,E0057786,
1800SBT0431,2004-09-14T00:00:00,,E0057786,
1800SBT0451,2004-09-14T00:00:00,,E0057786,
