AtcoCode,ModificationDateTime,NaptanCode,NptgLocalityCode,ShortCommonName
1800WKH1491,2010-05-07T00:00:00,,E0029543,
1800WKH3231,2010-05-22T00:00:00,,E0028535,
1800WKH3232,2010-05-22T00:00:00,,E0028535,
1800WK06111,2015-02-06T00:00:00,MANPTMTJ,N0075110,Spencer's Ln
1800WK03791,2015-02-06T00:00:00,MANPTAPW,N0075110,Spenver's Ln
1800SG10311,2014-02-17T00:00:00,MANJDJDG,E0029156,Spey House
1800SG10321,2014-02-17T00:00:00,MANJDJDJ,E0029156,Spey House
1800WK31641,2007-11-01T00:00:00,MANTAJDT,E0029477,Spice Lounge
1800WK31631,2007-11-01T00:00:00,MANTAJDP,E0029477,Spice Lounge
1800WK36981,2007-11-01T00:00:00,MANTDGAW,N0077438,Spinners Arms
1800WK36971,2007-11-01T00:00:00,MANTDGAT,N0077438,Spinners Arms
1800WKH3601,2007-11-01T00:00:00,,E0028950,
1800SB10121,2007-11-01T00:00:00,MANTGAWD,N0077372,Spinningfields
1800SB04121,2007-11-01T00:00:00,MANGPGWA,N0077372,Spinningfields
1800SBH1791,2010-06-02T00:00:00,,N0077372,
1800EBH2001,2009-05-26T00:00:00,,E0028544,
1800EBH2002,2005-05-24T00:00:00,,N0075154,
1800SYBS002,2005-05-24T00:00:00,,N0075154,
1800SYBS001,2008-07-09T00:00:00,MANJWDAP,E0028544,
1800SYBS0A1,2008-07-09T00:00:00,,E0028544,
1800SG36011,2014-02-05T00:00:00,MANJGDWP,E0029053,Sports Club
1800SG36001,2014-02-05T00:00:00,MANJGDWM,E0029053,Sports Club
1800ED15531,2008-03-27T00:00:00,MANAPGJW,E0057798,Sports Ctr
1800ED07661,2008-03-27T00:00:00,MANAMDMJ,E0057798,Sports Ctr
1800ED02121,2008-03-27T00:00:00,MANAJTWA,E0057798,Sports Ctr
1800EH10061,2010-04-19T00:00:00,MANAWTMT,N0076732,Sports Field
1800WF07581,2014-02-21T00:00:00,MANPJGAW,E0028973,Sportside Ave
1800WFH0421,2007-11-01T00:00:00,,E0028973,
1800ED28421,2007-11-01T00:00:00,MANATJDW,E0028755,Sportsman Dr
1800ED28431,2007-11-01T00:00:00,MANATJGA,E0028755,Sportsman Dr
1800SG35621,2014-02-05T00:00:00,MANJGDGW,E0029391,Sportsmans Arms
1800SG35611,2014-02-05T00:00:00,MANJGDGT,E0029391,Sportsmans Arms
1800NE48771,2007-11-01T00:00:00,MANGDWDW,N0075155,Spotland Bridge
1800NE25681,2015-11-22T00:00:00,MANGAPWM,N0075155,Spotland Bridge
1800NE25671,2015-05-14T00:00:00,MANGAPWJ,N0075155,Spotland Bridge
1800NE48801,2007-11-01T00:00:00,MANGDWGJ,N0075155,Spotland Church
1800NE48811,2007-11-01T00:00:00,MANGDWGM,N0075155,Spotland Church
1800NE21901,2014-12-02T00:00:00,MANGAGPW,N0075155,Spotland Library
1800NE16461,2010-04-24T00:00:00,MANDWTJD,N0075155,Spotland Library
1800NE19801,2010-04-26T00:00:00,MANGADTM,E0029464,Spotland Rd
1800NE02691,2007-11-01T00:00:00,MANDWGDP,N0075155,Spotland Rd
1800NE19791,2007-11-01T00:00:00,MANGADTJ,E0029464,Spotland Rd
1800NEH3642,2007-11-01T00:00:00,,N0075155,
1800NEH3641,2007-11-01T00:00:00,,N0075155,
1800NE25701,2007-11-01T00:00:00,MANGAPWT,N0075155,Spotland Stadium
1800EH37021,2010-04-19T00:00:00,MANDAWMT,E0028503,Spring Ave
1800SB15411,2007-11-01T00:00:00,MANGTDTP,E0057786,Spring Gardens
1800SG08461,2014-02-14T00:00:00,MANJDAMG,E0057819,Spring Gardens
1800SGH2502,2007-11-01T00:00:00,,E0057819,
1800SGH2501,2007-11-01T00:00:00,,E0057819,
1800EDH1181,2007-11-01T00:00:00,,E0028946,
1800EDH1191,2007-11-01T00:00:00,,E0028946,
1800EDH1192,2007-11-01T00:00:00,,E0028946,
1800EDH1182,2007-11-01T00:00:00,,E0028946,
1800NC05841,2010-04-21T00:00:00,MANDMTDA,E0029232,Spring Ln
1800WK05191,2014-02-14T00:00:00,MANPTJDJ,E0028911,Spring Rd
1800WK05201,2014-02-14T00:00:00,MANPTJDM,E0028911,Spring Rd
1800EH05751,2007-11-01T00:00:00,MANAWGWJ,E0029252,Spring Rise
1800WKH2462,2007-11-01T00:00:00,,E0028911,
1800WKH2461,2010-05-05T00:00:00,,E0028911,
1800ED30551,2007-11-01T00:00:00,MANATMJW,E0028471,Spring St
1800WK02481,2014-02-18T00:00:00,MANPMWAP,E0028807,Spring St
1800ED30541,2007-11-01T00:00:00,MANATMJT,E0028471,Spring St
1800NE08471,2010-04-24T00:00:00,MANDWPJW,E0029060,Spring Vale
1800NE08481,2010-04-24T00:00:00,MANDWPMA,E0029060,Spring Vale
1800ED16631,2007-11-01T00:00:00,MANAPMJW,E0029031,Spring Vale Way
1800ED16641,2010-04-16T00:00:00,MANAPMPA,E0029031,Spring Vale Way
1800WK00881,2013-05-21T00:00:00,MANPMGWP,E0029211,Springbank Ind. E
1800WK00891,2013-05-21T00:00:00,MANPMGWT,E0029211,Springbank Ind. E
1800NE25901,2007-11-01T00:00:00,MANGATGT,E0028508,Springbank Ln
1800NE25891,2007-11-01T00:00:00,MANGATGP,E0028508,Springbank Ln
1800SB31031,2010-10-12T00:00:00,MANGTMPW,E0029530,Springbridge Rd
1800SB31021,2007-11-01T00:00:00,MANGTMPT,E0029530,Springbridge Rd
1800SBH0332,2007-11-01T00:00:00,,E0029530,
1800SBH0331,2007-11-01T00:00:00,,E0029530,
1800SG43911,2014-02-13T00:00:00,MANJMDWM,E0028763,Springfield Ave
1800SG43921,2014-02-13T00:00:00,MANJMDWP,E0028763,Springfield Ave
1800WA41491,2014-02-28T00:00:00,MANPGPAT,E0028898,Springfield Gdns
1800ED01471,2007-11-01T00:00:00,MANAJTMA,N0075177,Springfield Ln
1800ED16981,2010-04-16T00:00:00,MANAPTDP,N0075177,Springfield Ln
1800EH04801,2008-03-26T00:00:00,MANAWDJW,E0028477,Springfield Rd
1800EH36521,2010-04-19T00:00:00,MANDAWAG,E0028353,Springfield Rd
1800EH36441,2007-11-01T00:00:00,MANDATWA,E0028477,Springfield Rd
1800WA41471,2014-02-28T00:00:00,MANPGPAM,E0028898,Springfield Rd
1800EH36531,2010-04-19T00:00:00,MANDAWAJ,E0028353,Springfield Rd
1800WA13711,2007-11-01T00:00:00,MANPAJDJ,E0028365,Springfield Road
1800SGH2352,2007-11-01T00:00:00,,E0028432,
1800SJH2571,2008-08-22T00:00:00,,E0029289,
1800EDH3241,2007-11-01T00:00:00,,N0075177,
1800SGH2351,2007-11-01T00:00:00,,E0028432,
1800WA15181,2007-11-01T00:00:00,MANPAPMW,E0028898,Springfield Road
1800EH14481,2010-04-19T00:00:00,MANTPAGA,N0075024,Springfield St
1800WAH0901,2007-11-01T00:00:00,,E0028898,
1800ED30801,2007-11-01T00:00:00,MANATPAG,E0029358,Springhead P.O.
1800ED06461,2010-10-15T00:00:00,MANAMDGD,E0029358,Springhead P.O.
1800WK05871,2014-02-14T00:00:00,MANPTMGP,E0029556,Springpool
1800WK05861,2014-02-14T00:00:00,MANPTMGM,E0029556,Springpool
1800ED19721,2010-10-18T00:00:00,MANATAGT,E0029061,Springs Rd
1800ED19711,2010-10-18T00:00:00,MANATAGP,E0029061,Springs Rd
1800EH21321,2007-11-01T00:00:00,MANDAJDP,E0029252,Springs Rise
1800SGH2522,2007-11-01T00:00:00,,E0028777,
1800SGH2521,2007-11-01T00:00:00,,E0028777,
1800NC22821,2011-01-17T00:00:00,MANDPWPT,E0028598,Springside View
1800NCH0731,2007-11-01T00:00:00,,E0028598,
1800NCH0732,2007-11-01T00:00:00,,E0028598,
1800NC22831,2010-03-29T00:00:00,MANDPWPW,E0028598,Springside View
1800EH01441,2007-11-01T00:00:00,MANAWADW,E0029421,Springvale Cl
1800EH01442,2006-01-20T00:00:00,,E0029421,
1800ED28521,2010-04-15T00:00:00,MANATJMG,E0028406,Education Ctr
1800ED04531,2010-10-15T00:00:00,MANAMAJM,E0028406,Springw'd Hall Rd
1800EDH2581,2007-11-01T00:00:00,,E0028406,
1800EDH2582,2007-11-01T00:00:00,,E0028406,
1800WF39471,2014-02-20T00:00:00,MANPJPMP,E0029411,Springwood Sch
1800SB30391,2007-11-01T00:00:00,MANGTMDA,E0028865,Spruce St
1800ED05071,2007-11-01T00:00:00,MANAMATJ,E0028339,Spurn Ln
1800EB00861,2007-11-01T00:00:00,MANADAPD,E0028994,Hamilton Rd
1800EB06101,2010-03-25T00:00:00,MANADTAJ,E0028994,Hamilton Rd
1800NE18461,2007-11-01T00:00:00,MANGADMA,E0029395,St Aidan's Church
1800NE02421,2010-04-24T00:00:00,MANDWDTM,E0029395,St Aidan's Church
1800WK05951,2014-02-14T00:00:00,MANPTMJT,N0075201,St Aidan's Sch
1800WK05961,2014-02-14T00:00:00,MANPTMJW,N0075201,St Aidan's Sch
1800SBH0411,2007-11-01T00:00:00,,N0075104,
1800SBH0412,2007-11-01T00:00:00,,N0075104,
1800SG08381,2014-02-17T00:00:00,MANJDAJG,N0075203,St Alban's Church
1800EH14521,2011-12-21T00:00:00,MANTPAPG,E0028965,St Albans Ave
1800EH15241,2012-02-01T00:00:00,MANTPMJP,E0028965,St Albans Ave
1800WK05061,2014-02-14T00:00:00,MANPTGWP,E0028559,St Ambrose
