AtcoCode,CommonName,Landmark,ModificationDateTime,Notes,StopType
1800WKH1491,Spencer Road (NW bound - to def rte),WHITLEY CRES,2010-05-07T00:00:00,DIRECTION AMENDED,BCT
1800WKH3231,Spencer Road West,SPENCER ROAD,2010-05-22T00:00:00,REMOVED,BCT
1800WKH3232,Spencer Road West,SPENCER ROAD,2010-05-22T00:00:00,REMOVED,BCT
1800WK06111,Spencer's Ln,RESTURANT,2015-02-06T00:00:00,NAME AMENDED,BCT
1800WK03791,Spencer's Ln,HOUSE 294,2015-02-06T00:00:00,NAME AMENDED,BCT
1800SG10311,Spey House,SPEY HOUSE,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800SG10321,Spey House,FLATS 29-32,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800WK31641,Spice Lounge,SPICE LOUNGE,2007-11-01T00:00:00,,BCT
1800WK31631,Spice Lounge,SPICE LOUNGE,2007-11-01T00:00:00,,BCT
1800WK36981,Spinners Arms,FLATS 50-58,2007-11-01T00:00:00,,BCT
1800WK36971,Spinners Arms,HOUSE 33,2007-11-01T00:00:00,,BCT
1800WKH3601,Spinning Jenny Way (to def route),ELLESMERE ST,2007-11-01T00:00:00,,BCT
1800SB10121,Spinningfields,COURTS,2007-11-01T00:00:00,,BCT
1800SB04121,Spinningfields,SPINNINGFIELDS,2007-11-01T00:00:00,,BCT
1800SBH1791,Spinningfields (to define route),Spinningfields (to define route),2010-06-02T00:00:00,REMOVED,BCT
1800EBH2001,Sportcity,Sportcity,2009-05-26T00:00:00,INDICATOR AMENDED,BCT
1800EBH2002,Sportcity,Sportcity,2005-05-24T00:00:00,,BCT
1800SYBS002,Sportcity Bus Station,JUBILEE TERRACE,2005-05-24T00:00:00,,BCS
1800SYBS001,Sportcity Bus Station,Sportcity Bus Station,2008-07-09T00:00:00,INDICATOR AMENDED,BCS
1800SYBS0A1,Sportcity Bus Station,Sportcity Bus Station,2008-07-09T00:00:00,INDICATOR AMENDED,BCS
1800SG36011,Sports Club,SPORTS CLUB,2014-02-05T00:00:00,INDICATOR AMENDED,BCT
1800SG36001,Sports Club,HOUSE 190,2014-02-05T00:00:00,INDICATOR AMENDED,BCT
1800ED15531,Sports Ctr,SPORTS CENTRE,2008-03-27T00:00:00,INDICATOR AMENDED,BCT
1800ED07661,Sports Ctr,SPORTS CTR,2008-03-27T00:00:00,INDICATOR AMENDED,BCT
1800ED02121,Sports Ctr,SPORTS CENTRE,2008-03-27T00:00:00,INDICATOR AMENDED,BCT
1800EH10061,Sports Field,FIELD,2010-04-19T00:00:00,INDICATOR AMENDED,BCT
1800WF07581,Sportside Ave,HOUSE 19,2014-02-21T00:00:00,indicator amended,BCT
1800WFH0421,Sportside Avenue,SPORTSIDE AVE,2007-11-01T00:00:00,,BCT
1800ED28421,Sportsman Dr,HOUSE 44,2007-11-01T00:00:00,,BCT
1800ED28431,Sportsman Dr,HOUSE 91,2007-11-01T00:00:00,,BCT
1800SG35621,Sportsmans Arms,SPORTSMAN ARMS,2014-02-05T00:00:00,INDICATOR AMENDED,BCT
1800SG35611,Sportsmans Arms,SPORTSMANS ARMS,2014-02-05T00:00:00,INDICATOR AMENDED,BCT
1800NE48771,Spotland Bridge,HOUSE 2,2007-11-01T00:00:00,,BCT
1800NE25681,Spotland Bridge,HOUSE 2,2015-11-22T00:00:00,STOP LOCATION AMENDENT,BCT
1800NE25671,Spotland Bridge,PROPERTY 242,2015-05-14T00:00:00,STOP LOCATION AMENDED,BCT
1800NE48801,Spotland Church,CHURCH,2007-11-01T00:00:00,,BCT
1800NE48811,Spotland Church,FLATS 140-144,2007-11-01T00:00:00,,BCT
1800NE21901,Spotland Library,LIBRARY,2014-12-02T00:00:00,TOWARDS ADDED,BCT
1800NE16461,Spotland Library,CARE HOME,2010-04-24T00:00:00,INDICATOR AMENDED,BCT
1800NE19801,Spotland Rd,HOUSE 35,2010-04-26T00:00:00,INDICATOR AMENDED,BCT
1800NE02691,Spotland Rd,,2007-11-01T00:00:00,,BCT
1800NE19791,Spotland Rd,GARAGES,2007-11-01T00:00:00,,BCT
1800NEH3642,Spotland Road (to def rte),MELLOR STREET,2007-11-01T00:00:00,,BCT
1800NEH3641,Spotland Road (to def rte),MELLOR STREET,2007-11-01T00:00:00,,BCT
1800NE25701,Spotland Stadium,HOUSE 195,2007-11-01T00:00:00,,BCT
