AtcoCode,CommonName,Landmark,ModificationDateTime,Notes,StopType
1800EDH2722,Church Rd,CHURCH ROAD,2007-11-01T00:00:00,,BCT
1800NC07491,Church Rd,,2007-11-01T00:00:00,,BCT
1800EDH2721,Church Rd,CHURCH ROAD,2007-11-01T00:00:00,,BCT
1800NC07481,Church Rd,HOUSE 303,2010-01-12T00:00:00,LOCATION AMENDED,BCT
1800SG05481,Church Rd,RESTAURANT,2014-02-18T00:00:00,INDICATOR AMENDED,BCT
1800WAH2861,Church Rd (Nbd - define route),A666/Church Rd (Nbd - define route),2008-08-01T00:00:00,NAME AMENDED,BCT
1800WAH2871,Church Rd (Sbd - to define route),A666/Church Rd (Sbd - to define route),2008-08-01T00:00:00,NAME AMENDED,BCT
1800SJ03191,Church Rectory,B & Q,2014-09-26T00:00:00,INDICATOR AMENDED,BCT
1800WA08301,Church Road,,2007-11-01T00:00:00,,BCT
1800EDH2021,Church Road,E-BOUND,2010-10-12T00:00:00,DIRECTION AMENDED,BCT
1800SGH3691,Church Road,Church Road,2007-11-01T00:00:00,,BCT
1800SJ03501,Church Road,SHOPS,2007-11-01T00:00:00,,BCT
1800WA15351,Church Road,CAR PARK,2007-11-01T00:00:00,,BCT
1800SJH1951,Church Road,CHURCH ROAD,2009-05-18T00:00:00,INDICATOR AMENDED,BCT
1800EDH0711,Church Road,MANCHESTER ROAD,2007-11-01T00:00:00,,BCT
1800EDH0712,Church Road,MANCHESTER ROAD,2005-05-24T00:00:00,,BCT
1800WAH2302,Church Road,CLAMMERCLOUGH R,2007-11-01T00:00:00,,BCT
1800EDH2022,Church Road,WELL MEADOW LA,2007-11-01T00:00:00,,BCT
1800SJ03491,Church Road,VILLAGE COURT,2007-11-01T00:00:00,,BCT
1800WAH2301,Church Road,CLAMMERCLOUGH R,2007-11-01T00:00:00,,BCT
1800SJH1952,Church Road,CHURCH ROAD,2009-05-18T00:00:00,INDICATOR AMENDED,BCT
1800EDH3761,Church Road (Wbnd - to def.rte),Church Road (Wbnd - to def.rte),2010-10-12T00:00:00,,BCT
1800EH46141,Church St,HOUSE 121,2007-11-01T00:00:00,,BCT
1800WK09181,Church St,,2014-02-13T00:00:00,indicator amended,BCT
1800WK04751,Church St,VETS,2014-02-17T00:00:00,indicator amended,BCT
1800NCH3742,Church St,CHURCH STREET,2007-11-01T00:00:00,,BCT
1800EH05611,Church St,HOUSE 116,2007-11-01T00:00:00,,BCT
1800NE00321,Church St,MEMORIAL GARDEN,2011-01-20T00:00:00,name amended,BCT
1800WA34921,Church St,LEISURE CENTRE,2014-02-28T00:00:00,indicator amended,BCT
1800WK37971,Church St,FARM,2007-11-01T00:00:00,,BCT
1800NF29261,Church St,KINROSS FLATS,2007-11-01T00:00:00,,BCT
1800NCH0092,Church St (opp NC2236) to define route,Church St (opp NC2236) to define route,2007-11-01T00:00:00,,BCT
1800NCH0091,Church St (opp NC2236) to define route,Church St (opp NC2236) to define route,2007-11-01T00:00:00,,BCT
1800NEH1611,Church St (to def route),CHURCH STREET,2007-11-01T00:00:00,,BCT
1800NEH1612,Church St (to def route),CHURCH STREET,2007-11-01T00:00:00,,BCT
1800ED12011,Church St East,HOUSE 491,2014-10-15T00:00:00,STOP NAME AMENDED,BCT
1800ED30611,Church St East,FLATS,2014-10-15T00:00:00,STOP NAME AMENDED,BCT
1800WAH2702,Church Street,CHURCH STREET,2007-11-01T00:00:00,,BCT
1800EHH0511,Church Street,HENRY STREET,2007-11-01T00:00:00,,BCT
1800WK37951,Church Street,HOUSE 5,2007-11-01T00:00:00,,BCT
1800SGH1041,Church Street,EMPRESS AVENUE,2007-11-01T00:00:00,,BCT
1800WAH2701,Church Street,CHURCH STREET,2007-11-01T00:00:00,,BCT
1800WA15631,Church Street,HOUSE 8A,2007-11-01T00:00:00,,BCT
1800SG17571,Church Street,NR HOUSE 1,2011-02-10T00:00:00,STOP REMOVED,BCT
1800EHH0512,Church Street,HENRY STREET,2007-11-01T00:00:00,,BCT
