AtcoCode,ModificationDateTime,NaptanCode,NptgLocalityCode,ShortCommonName
1800SG10561,2014-02-17T00:00:00,MANJDJPA,E0028779,Heaton Moor Rd
1800NC41921,2010-04-23T00:00:00,MANDTPDJ,E0029221,Heaton Park
1800ZZMAHEA2,2004-09-14T00:00:00,,N0075005,
1800ZZMAHEA1,2004-09-14T00:00:00,,N0075005,
1800NCR1281,2005-05-24T00:00:00,,N0075005,
1800NCE2251,2004-09-14T00:00:00,,N0075005,
1800NCE2241,2004-09-14T00:00:00,,N0075005,
1800NB07651,2010-11-17T00:00:00,MANDJPAP,E0028798,Heaton Park Rd
1800NB41001,2011-01-06T00:00:00,MANDJWGW,E0028798,Heaton Park Rd
1800NB07661,2010-11-17T00:00:00,MANDJPAT,E0028798,Heaton Park Ro
1800NB43011,2011-01-11T00:00:00,MANDMADT,E0028798,Heaton Park Rd
1800NBH1031,2011-01-11T00:00:00,,E0028798,
1800NBH0042,2007-11-01T00:00:00,,E0028798,
1800NBH0041,2011-01-11T00:00:00,,E0028798,
1800NC42271,2007-11-01T00:00:00,MANDTPJW,N0075005,Heaton Park Tram
1800NC41881,2007-11-01T00:00:00,MANDTPAT,N0075005,Heaton Park Tram
1800NC41741,2007-11-01T00:00:00,MANDTMWP,N0075005,Heaton Park Tram
1800NC42281,2007-11-01T00:00:00,MANDTPMA,N0075005,Heaton Park Tram
1800NCH4541,2007-11-01T00:00:00,,E0028588,
1800NCH4542,2007-11-01T00:00:00,,E0028588,
1800SG41911,2014-02-17T00:00:00,MANJMDAJ,E0028780,Heaton Rd
1800SG39931,2014-02-17T00:00:00,MANJGWPT,E0028780,Heaton Rd
1800SGH0311,2007-11-01T00:00:00,,E0028780,
1800SGH0321,2007-11-01T00:00:00,,E0028780,
1800SGH0322,2007-11-01T00:00:00,,E0028780,
1800EH48211,2007-11-01T00:00:00,MANDJDPA,N0074964,Heaton St
1800NC41661,2008-06-03T00:00:00,MANDTMTM,E0029221,Heaton St
1800EH05701,2010-10-19T00:00:00,MANAWGTP,E0029338,Heginbottom Cres
1800EH14471,2010-10-21T00:00:00,MANTPADT,E0029338,Heginbottom Cres
1800NEH1791,2007-11-01T00:00:00,,E0029314,
1800NEH1792,2007-11-01T00:00:00,,E0029314,
1800NEH1781,2007-11-01T00:00:00,,E0029314,
1800NEH1782,2007-11-01T00:00:00,,E0029314,
1800NEH1801,2007-11-01T00:00:00,,E0029314,
1800NEH1802,2007-11-01T00:00:00,,E0029314,
1800NEH1822,2007-11-01T00:00:00,,N0075130,
1800NEH1821,2007-11-01T00:00:00,,N0075130,
1800NEH1811,2007-11-01T00:00:00,,E0029314,
1800NEH1812,2007-11-01T00:00:00,,E0029314,
1800NE19731,2007-11-01T00:00:00,MANGADTA,E0029464,Heights Ln
1800NE19741,2011-03-01T00:00:00,MANGADTD,E0029464,Heights Ln
1800NF31481,2011-03-11T00:00:00,MANGMWJM,E0028886,Roundabout
1800WKH0912,2007-11-01T00:00:00,,E0028911,
1800WKH0911,2007-11-01T00:00:00,,E0028911,
1800NF01371,2015-08-26T00:00:00,MANGJGAT,E0028695,Helensville Ave
1800NF01381,2015-08-26T00:00:00,MANGJGAW,E0028695,Helensville Ave
1800WF39731,2015-03-05T00:00:00,MANPJTDJ,E0028326,Hello Hotel
1800WF39741,2015-03-05T00:00:00,MANPJTDM,E0028326,Hello Hotel
1800ED16391,2008-03-26T00:00:00,MANAPMAT,N0075138,Helmshore Way
1800SJ47701,2015-02-13T00:00:00,MANJTPAJ,N0075139,Helsby Road
1800SJ47681,2015-02-13T00:00:00,MANJTPAD,N0075139,Helsby Road
1800WKH0021,2007-11-01T00:00:00,,E0029150,
