AtcoCode,CommonName,Landmark,ModificationDateTime,Notes,StopType
1800SG10561,Heaton Moor Rd,FLATS 10-15,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800NC41921,Heaton Park,HOUSE 17,2010-04-23T00:00:00,INDICATOR AMENDED,BCT
1800ZZMAHEA2,Heaton Park (Manchester Metrolink),,2004-09-14T00:00:00,,TMU
1800ZZMAHEA1,Heaton Park (Manchester Metrolink),,2004-09-14T00:00:00,,TMU
1800NCR1281,Heaton Park (Metrolink),WHITTAKER LANE,2005-05-24T00:00:00,,RSE
1800NCE2251,Heaton Park Metrolink Station Nth Entrance,BURY OLD ROAD,2004-09-14T00:00:00,,TMU
1800NCE2241,Heaton Park Metrolink Station South Entrance,WHITTAKER LANE,2004-09-14T00:00:00,,TMU
1800NB07651,Heaton Park Rd,HEATON PARK,2010-11-17T00:00:00,NAME AMENDED,BCT
1800NB41001,Heaton Park Rd,DENTAL PRACTICE,2011-01-06T00:00:00,INDICATOR AMENDED,BCT
1800NB07661,Heaton Park Rd,HEATON PARK,2010-11-17T00:00:00,NAME & INDICATOR AMENDED,BCT
1800NB43011,Heaton Park Rd,HOUSE 408,2011-01-11T00:00:00,NAME/INDICATOR AMENDED,BCT
1800NBH1031,Heaton Park Rd (Nbnd),Heaton Park Rd (Nbnd),2011-01-11T00:00:00,,BCT
1800NBH0042,Heaton Park Road,PARKSWAY,2007-11-01T00:00:00,,BCT
1800NBH0041,Heaton Park Road (Sth bnd),PARKSWAY,2011-01-11T00:00:00,DIRECTION AMENDED,BCT
1800NC42271,Heaton Park Tram Stop,METROLINK STOP,2007-11-01T00:00:00,,BCT
1800NC41881,Heaton Park Tram Stop,METROLINK STOP,2007-11-01T00:00:00,,BCT
1800NC41741,Heaton Park Tram Stop,HOUSE 211,2007-11-01T00:00:00,,BCT
1800NC42281,Heaton Park Tram Stop,HOUSE 8,2007-11-01T00:00:00,,BCT
1800NCH4541,Heaton Pk,Sheepfoot Ln/Heaton Pk,2007-11-01T00:00:00,,BCT
1800NCH4542,Heaton Pk,Sheepfoot Ln/Heaton Pk,2007-11-01T00:00:00,,BCT
1800SG41911,Heaton Rd,OPTICIANS,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800SG39931,Heaton Rd,CAR DEALERS,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800SGH0311,Heaton Rd (Nbd),Heaton Rd (Nbd),2007-11-01T00:00:00,,BCT
1800SGH0321,Heaton Road,WELLINGTON RD N,2007-11-01T00:00:00,,BCT
1800SGH0322,Heaton Road,WELLINGTON RD N,2007-11-01T00:00:00,,BCT
1800EH48211,Heaton St,WINDMILL AUTOS,2007-11-01T00:00:00,,BCT
1800NC41661,Heaton St,HOUSE 93,2008-06-03T00:00:00,INDICATOR AMENDED,BCT
1800EH05701,Heginbottom Cres,PARK,2010-10-19T00:00:00,INDICATOR AMENDED,BCT
1800EH14471,Heginbottom Cres,HOUSE 123,2010-10-21T00:00:00,NAME/INDICATOR AMENDED,BCT
1800NEH1791,Heights Avenue,HEIGHTS LANE,2007-11-01T00:00:00,,BCT
1800NEH1792,Heights Avenue,HEIGHTS LANE,2007-11-01T00:00:00,,BCT
1800NEH1781,Heights Avenue,WOODFIELD AVE,2007-11-01T00:00:00,,BCT
1800NEH1782,Heights Avenue,WOODFIELD AVE,2007-11-01T00:00:00,,BCT
1800NEH1801,Heights Lane (northbound),HEADLANDS ST,2007-11-01T00:00:00,,BCT
1800NEH1802,Heights Lane (northbound),HEADLANDS ST,2007-11-01T00:00:00,,BCT
1800NEH1822,Heights Lane (opp NE0146 to def route),QUARRY STREET,2007-11-01T00:00:00,,BCT
1800NEH1821,Heights Lane (opp NE0146 to def route),QUARRY STREET,2007-11-01T00:00:00,,BCT
1800NEH1811,Heights Lane (southbound),OP HEADLANDS ST,2007-11-01T00:00:00,,BCT
1800NEH1812,Heights Lane (southbound),OP HEADLANDS ST,2007-11-01T00:00:00,,BCT
1800NE19731,Heights Ln,SCHOOL,2007-11-01T00:00:00,,BCT
1800NE19741,Heights Ln,SCHOOL,2011-03-01T00:00:00,INDICATOR AMENDED,BCT
1800NF31481,Heights Roundabout,,2011-03-11T00:00:00,name amended,BCT
1800WKH0912,Heinz Foods (off Spring Road),PRESCOTT LANE,2007-11-01T00:00:00,,BCT
1800WKH0911,Heinz Foods (off Spring Road),PRESCOTT LANE,2007-11-01T00:00:00,,BCT
1800NF01371,Helensville Ave,HOUSE 80,2015-08-26T00:00:00,STOP LOCATION AMENDED,BCT
1800NF01381,Helensville Ave,HOUSE 4,2015-08-26T00:00:00,STOP LOCATION AMENDED,BCT
1800WF39731,Hello Hotel,HOTEL,2015-03-05T00:00:00,NAME AMENDED,BCT
1800WF39741,Hello Hotel,PETROL STATION,2015-03-05T00:00:00,NAME AMENDED,BCT
1800ED16391,Helmshore Way,HOUSE 21,2008-03-26T00:00:00,INDICATOR AMENDED,BCT
1800SJ47701,Helsby Road,PLAYGROUND,2015-02-13T00:00:00,INDICATOR AMENDED,BCT
1800SJ47681,Helsby Road,PLAYGROUND,2015-02-13T00:00:00,INDICATOR AMENDED,BCT
1800WKH0021,Helvellyn Rd (Wbd - to def rte),NORLEY HALL AVE,2007-11-01T00:00:00,,BCT
1800EB33641,Hemmington Dr,OCKENDEN DR,2010-04-15T00:00:00,INDICATOR AMENDED,BCT
1800SG13031,Hempshaw Ln,FLYING DUTCHMAN,2014-02-14T00:00:00,INDICATOR AMENDED,BCT
1800SG09321,Hempshaw Ln,HOUSE 10,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800SG08331,Hempshaw Ln,HOUSE 27,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800EB02741,Hemsworth Rd,HOUSE 60,2010-03-25T00:00:00,INDICATOR AMENDED,BCT
1800EB02751,Hemsworth Rd,HOUSE 19,2007-11-01T00:00:00,,BCT
1800SG09881,Hendham Cl,,2014-02-21T00:00:00,INDICATOR AMENDED,BCT
1800SJH0901,Henrietta Street,HENRIETTA ST,2007-11-01T00:00:00,,BCT
1800SJH0902,Henrietta Street,HENRIETTA ST,2007-11-01T00:00:00,,BCT
