AtcoCode,Bearing,CreationDateTime,GrandParentLocalityName,Notes,NptgLocalityCode
1800EDH2722,SW,2007-11-01T00:00:00,,,E0028426
1800NC07491,S,2007-11-01T00:00:00,,,E0029324
1800EDH2721,NE,2007-11-01T00:00:00,,,E0028426
1800NC07481,N,2010-01-12T00:00:00,,LOCATION AMENDED,E0029324
1800SG05481,S,2014-02-18T00:00:00,,INDICATOR AMENDED,E0029341
1800WAH2861,NW,2008-08-01T00:00:00,,NAME AMENDED,E0028392
1800WAH2871,SE,2008-08-01T00:00:00,,NAME AMENDED,E0028392
1800SJ03191,NW,2014-09-26T00:00:00,,INDICATOR AMENDED,E0028358
1800WA08301,NW,2007-11-01T00:00:00,,,E0028348
1800EDH2021,E,2010-10-12T00:00:00,,DIRECTION AMENDED,E0029480
1800SGH3691,NE,2007-11-01T00:00:00,,,E0028432
1800SJ03501,NE,2007-11-01T00:00:00,,,E0028410
1800WA15351,S,2007-11-01T00:00:00,,,E0028392
1800SJH1951,N,2009-05-18T00:00:00,,INDICATOR AMENDED,E0028410
1800EDH0711,S,2007-11-01T00:00:00,,,E0028286
1800EDH0712,SE,2005-05-24T00:00:00,,,E0028286
1800WAH2302,W,2007-11-01T00:00:00,,,E0028392
1800EDH2022,E,2007-11-01T00:00:00,,,E0029480
1800SJ03491,SW,2007-11-01T00:00:00,,,E0028410
1800WAH2301,E,2007-11-01T00:00:00,,,E0028392
1800SJH1952,S,2009-05-18T00:00:00,,INDICATOR AMENDED,E0028410
1800EDH3761,E,2010-10-12T00:00:00,,,E0029480
1800EH46141,W,2007-11-01T00:00:00,,,E0028357
1800WK09181,N,2014-02-13T00:00:00,,indicator amended,E0029177
1800WK04751,S,2014-02-17T00:00:00,,indicator amended,E0029177
1800NCH3742,S,2007-11-01T00:00:00,,,E0028250
1800EH05611,E,2007-11-01T00:00:00,,,E0028357
1800NE00321,S,2011-01-20T00:00:00,,name amended,E0028987
1800WA34921,N,2014-02-28T00:00:00,,indicator amended,E0052667
