LOCSF,MODIFIER,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID
D,~~~~~,SK,A,ADA,SKADA~~~~~A
L,~~~~~,SK,A,AVG,SKAVG~~~~~N
L,~~~~~,SK,A,AVA,SKAVA~~~~~A
D,~~~~~,SK,B,HRA,SKHRA~~~~~A
D,~~~~~,SK,A,ADA,SKADA~~~~~A
D,~~~~~,SK,A,HRA,SKHRA~~~~~A
D,~~~~~,SK,B,HRC,SKHRC~~~~~A
D,~~~~~,SK,B,ADA,SKADA~~~~~A
D,~~~~~,SK,A,FXA,SKFXA~~~~~A
D,A~~~~,SK,B,WWD,SKWWDA~~~~A
U,~~~~~,SK,A,GXX,SKGXX~~~~~N
H,~~~~~,SK,A,CHA,SKCHA~~~~~A
H,~~~~~,SK,A,ADA,SKADA~~~~~A
D,~~~~~,SK,A,BYA,SKBYA~~~~~A
D,~~~~~,SK,A,FXA,SKFXA~~~~~A
H,~~~~~,SK,A,HTA,SKHTA~~~~~A
D,~~~~~,SK,B,ADA,SKADA~~~~~A
D,~~~~~,SK,B,CHA,SKCHA~~~~~A
D,~~~~~,SK,B,HRA,SKHRA~~~~~A
H,~~~~~,SK,A,HRA,SKHRA~~~~~A
D,~~~~~,SK,A,WWA,SKWWA~~~~~A
U,~~~~~,SK,A,GXX,SKGXX~~~~~N
H,~~~~~,SK,C,HRA,SKHRA~~~~~A
H,~~~~~,SK,C,HRC,SKHRC~~~~~A
H,~~~~~,SK,D,HRA,SKHRA~~~~~A
H,~~~~~,SK,C,HRO,SKHRO~~~~~A
U,~~~~~,SK,A,GXX,SKGXX~~~~~N
H,~~~~~,SK,D,HRC,SKHRC~~~~~A
H,~~~~~,SK,C,HTA,SKHTA~~~~~A
H,~~~~~,SK,A,HRA,SKHRA~~~~~A
H,~~~~~,SK,A,VAA,SKVAA~~~~~A
D,A~~~~,SK,A,HTA,SKHTAA~~~~A
D,A~~~~,SK,A,BYA,SKBYAA~~~~A
D,~~~~~,SK,D,HWW,SKHWW~~~~~N
H,~~~~~,SK,A,HRC,SKHRC~~~~~A
H,~~~~~,SK,C,HRA,SKHRA~~~~~A
H,~~~~~,SK,D,ADA,SKADA~~~~~A
H,~~~~~,SK,C,ADA,SKADA~~~~~A
H,~~~~~,SK,C,ADC,SKADC~~~~~A
