ACC_INC_TYPE,SUBD_OWNER
CROSSING,KELOWNA PACIFIC RAILWAY LTD.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN COLLISION,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,KELOWNA PACIFIC RAILWAY LTD.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
DG LEAKER,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
DG LEAKER,CP - CANADIAN PACIFIC RAILWAY CO.
TRESPASSER,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,CP - CANADIAN PACIFIC RAILWAY CO.
EMPLOYEE,CN - CANADIAN NATIONAL RAILWAY CO.
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,CN - CANADIAN NATIONAL RAILWAY CO.
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN COLLISION,CP - CANADIAN PACIFIC RAILWAY CO.
DG LEAKER,CN - CANADIAN NATIONAL RAILWAY CO.
DG LEAKER,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN COLLISION,CN - CANADIAN NATIONAL RAILWAY CO.
DG LEAKER,CN - CANADIAN NATIONAL RAILWAY CO.
DG LEAKER,CN - CANADIAN NATIONAL RAILWAY CO.
DG LEAKER,CN - CANADIAN NATIONAL RAILWAY CO.
DG LEAKER,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,BURLINGTON NORTHERN SANTA FE COMPANY
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
CROSSING,CN - CANADIAN NATIONAL RAILWAY CO.
TRESPASSER,BURLINGTON NORTHERN SANTA FE COMPANY
DG LEAKER,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,VIA RAIL CANADA INC.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
UNPROTECTED OVERLAP OF AUTHORITIES,CN - CANADIAN NATIONAL RAILWAY CO.
CROSSING,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
